Id2,Id,Estimate; Total:,"Estimate; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:",Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,Estimate; Other means,Estimate; Worked at home
12001000200,1400000US12001000200,2619,1539,1231,308,32,0,0,567,306,14,161
12001000200,1400000US12001000200,2239,1270,1063,207,19,0,0,554,249,0,147
12001000200,1400000US12001000200,2262,1270,1063,207,19,0,0,554,258,0,161
12001000200,1400000US12001000200,271,220,141,79,0,0,0,13,24,14,0
12001000200,1400000US12001000200,302,242,141,101,0,0,0,13,33,14,0
12001000200,1400000US12001000200,2014,1150,985,165,19,0,0,488,210,0,147
12001000200,1400000US12001000200,2028,1150,985,165,19,0,0,488,210,0,161
12001000200,1400000US12001000200,271,220,141,79,0,0,0,13,24,14,0
12001000200,1400000US12001000200,293,242,141,101,0,0,0,13,24,14,0
12001000301,1400000US12001000301,1491,1180,995,185,0,0,0,215,96,0,0
12001000301,1400000US12001000301,1250,1006,905,101,0,0,0,148,96,0,0
12001000301,1400000US12001000301,1250,1006,905,101,0,0,0,148,96,0,0
12001000301,1400000US12001000301,1118,936,835,101,0,0,0,86,96,0,0
12001000301,1400000US12001000301,1118,936,835,101,0,0,0,86,96,0,0
12001000302,1400000US12001000302,1460,1269,1137,132,0,0,12,23,64,40,52
12001000302,1400000US12001000302,1244,1080,975,105,0,0,12,23,51,40,38
12001000302,1400000US12001000302,1272,1108,988,120,0,0,12,23,51,40,38
12001000302,1400000US12001000302,1122,998,917,81,0,0,12,23,51,0,38
12001000302,1400000US12001000302,1150,1026,930,96,0,0,12,23,51,0,38
12001000400,1400000US12001000400,2394,2165,1961,204,79,0,0,64,58,0,28
12001000400,1400000US12001000400,915,815,745,70,43,0,0,14,29,0,14
12001000400,1400000US12001000400,938,838,768,70,43,0,0,14,29,0,14
12001000400,1400000US12001000400,1419,1290,1167,123,36,0,0,50,29,0,14
12001000400,1400000US12001000400,1442,1313,1190,123,36,0,0,50,29,0,14
12001000400,1400000US12001000400,852,752,682,70,43,0,0,14,29,0,14
12001000400,1400000US12001000400,875,775,705,70,43,0,0,14,29,0,14
12001000400,1400000US12001000400,1419,1290,1167,123,36,0,0,50,29,0,14
12001000400,1400000US12001000400,1442,1313,1190,123,36,0,0,50,29,0,14
12001000500,1400000US12001000500,2750,1894,1606,288,15,0,30,421,308,34,48
12001000500,1400000US12001000500,2088,1431,1199,232,15,0,15,349,230,0,48
12001000500,1400000US12001000500,2088,1431,1199,232,15,0,15,349,230,0,48
12001000500,1400000US12001000500,1981,1335,1173,162,15,0,15,338,230,0,48
12001000500,1400000US12001000500,1981,1335,1173,162,15,0,15,338,230,0,48
12001000600,1400000US12001000600,1268,980,901,79,82,30,0,10,56,14,96
12001000600,1400000US12001000600,1107,852,773,79,77,30,0,10,56,14,68
12001000600,1400000US12001000600,1112,852,773,79,82,30,0,10,56,14,68
12001000600,1400000US12001000600,1077,822,743,79,77,30,0,10,56,14,68
12001000600,1400000US12001000600,1082,822,743,79,82,30,0,10,56,14,68
12001000700,1400000US12001000700,1947,1623,1227,396,190,0,0,87,0,0,47
12001000700,1400000US12001000700,380,340,316,24,0,0,0,30,0,0,10
12001000700,1400000US12001000700,393,353,329,24,0,0,0,30,0,0,10
12001000700,1400000US12001000700,1459,1175,803,372,190,0,0,57,0,0,37
12001000700,1400000US12001000700,1472,1188,816,372,190,0,0,57,0,0,37
12001000700,1400000US12001000700,357,317,293,24,0,0,0,30,0,0,10
12001000700,1400000US12001000700,370,330,306,24,0,0,0,30,0,0,10
12001000700,1400000US12001000700,1459,1175,803,372,190,0,0,57,0,0,37
12001000700,1400000US12001000700,1472,1188,816,372,190,0,0,57,0,0,37
12001000806,1400000US12001000806,1117,782,713,69,167,0,0,80,79,0,9
12001000806,1400000US12001000806,879,640,571,69,71,0,0,80,79,0,9
12001000806,1400000US12001000806,887,640,571,69,79,0,0,80,79,0,9
12001000806,1400000US12001000806,843,640,571,69,58,0,0,80,56,0,9
12001000806,1400000US12001000806,851,640,571,69,66,0,0,80,56,0,9
12001000808,1400000US12001000808,2096,1761,1415,346,177,0,14,83,8,0,53
12001000808,1400000US12001000808,1197,1047,872,175,76,0,14,12,8,0,40
12001000808,1400000US12001000808,1360,1183,991,192,88,0,14,27,8,0,40
12001000808,1400000US12001000808,467,335,253,82,89,0,0,43,0,0,0
12001000808,1400000US12001000808,518,359,277,82,101,0,0,58,0,0,0
12001000808,1400000US12001000808,1141,998,823,175,69,0,14,12,8,0,40
12001000808,1400000US12001000808,1260,1090,898,192,81,0,14,27,8,0,40
12001000808,1400000US12001000808,467,335,253,82,89,0,0,43,0,0,0
12001000808,1400000US12001000808,518,359,277,82,101,0,0,58,0,0,0
12001000809,1400000US12001000809,693,287,233,54,32,0,0,45,315,0,14
12001000809,1400000US12001000809,535,252,198,54,0,0,0,45,224,0,14
12001000809,1400000US12001000809,535,252,198,54,0,0,0,45,224,0,14
12001000809,1400000US12001000809,492,209,155,54,0,0,0,45,224,0,14
12001000901,1400000US12001000901,1044,218,195,23,350,0,0,217,228,0,31
12001000901,1400000US12001000901,647,161,138,23,94,0,0,194,182,0,16
12001000901,1400000US12001000901,659,161,138,23,94,0,0,194,194,0,16
12001000901,1400000US12001000901,291,30,30,0,217,0,0,10,34,0,0
12001000901,1400000US12001000901,291,30,30,0,217,0,0,10,34,0,0
12001000901,1400000US12001000901,511,161,138,23,94,0,0,58,182,0,16
12001000901,1400000US12001000901,511,161,138,23,94,0,0,58,182,0,16
12001000901,1400000US12001000901,291,30,30,0,217,0,0,10,34,0,0
12001000901,1400000US12001000901,291,30,30,0,217,0,0,10,34,0,0
12001000902,1400000US12001000902,1306,214,199,15,128,0,12,42,598,16,296
12001000902,1400000US12001000902,959,190,175,15,112,0,12,16,415,16,198
12001000902,1400000US12001000902,975,190,175,15,112,0,12,32,415,16,198
12001000902,1400000US12001000902,173,0,0,0,16,0,0,0,110,0,47
12001000902,1400000US12001000902,173,0,0,0,16,0,0,0,110,0,47
12001000902,1400000US12001000902,155,24,24,0,0,0,0,26,73,0,32
12001000902,1400000US12001000902,196,62,47,15,17,0,0,0,46,0,71
12001000902,1400000US12001000902,763,128,128,0,95,0,12,16,369,16,127
12001000902,1400000US12001000902,779,128,128,0,95,0,12,32,369,16,127
12001000902,1400000US12001000902,173,0,0,0,16,0,0,0,110,0,47
12001000902,1400000US12001000902,173,0,0,0,16,0,0,0,110,0,47
12001000902,1400000US12001000902,155,24,24,0,0,0,0,26,73,0,32
12001000902,1400000US12001000902,196,62,47,15,17,0,0,0,46,0,71
12001000902,1400000US12001000902,196,62,47,15,17,0,0,0,46,0,71
12001000902,1400000US12001000902,252,0,0,0,31,0,0,16,126,16,63
12001000902,1400000US12001000902,223,46,46,0,32,0,0,0,96,16,33
12001001000,1400000US12001001000,2412,1705,1504,201,18,0,30,193,301,29,136
12001001000,1400000US12001001000,2243,1602,1423,179,18,0,30,173,255,29,136
12001001000,1400000US12001001000,2258,1602,1423,179,18,0,30,173,270,29,136
12001001000,1400000US12001001000,2158,1568,1395,173,18,0,16,164,255,16,121
12001001000,1400000US12001001000,2173,1568,1395,173,18,0,16,164,270,16,121
12001001000,1400000US12001001000,371,327,267,60,0,0,0,19,25,0,0
12001001000,1400000US12001001000,424,314,278,36,0,0,0,13,90,0,7
12001001100,1400000US12001001100,3327,2880,2477,403,59,0,40,196,46,0,106
12001001100,1400000US12001001100,2981,2598,2256,342,59,0,24,196,19,0,85
12001001100,1400000US12001001100,3000,2617,2275,342,59,0,24,196,19,0,85
12001001100,1400000US12001001100,2875,2507,2165,342,44,0,24,196,19,0,85
12001001100,1400000US12001001100,2875,2507,2165,342,44,0,24,196,19,0,85
12001001100,1400000US12001001100,725,678,608,70,0,0,0,33,0,0,14
12001001100,1400000US12001001100,690,606,499,107,29,0,0,42,0,0,13
12001001100,1400000US12001001100,475,388,335,53,15,0,0,72,0,0,0
12001001201,1400000US12001001201,1529,1409,1236,173,0,0,11,88,0,0,21
12001001201,1400000US12001001201,1223,1103,938,165,0,0,11,88,0,0,21
12001001201,1400000US12001001201,1228,1108,943,165,0,0,11,88,0,0,21
12001001201,1400000US12001001201,1143,1033,916,117,0,0,11,78,0,0,21
12001001201,1400000US12001001201,1148,1038,921,117,0,0,11,78,0,0,21
12001001202,1400000US12001001202,3771,3587,2853,734,32,0,0,0,44,0,108
12001001202,1400000US12001001202,3212,3049,2401,648,32,0,0,0,23,0,108
12001001202,1400000US12001001202,3212,3049,2401,648,32,0,0,0,23,0,108
12001001202,1400000US12001001202,2818,2686,2206,480,32,0,0,0,23,0,77
12001001202,1400000US12001001202,2818,2686,2206,480,32,0,0,0,23,0,77
12001001202,1400000US12001001202,512,490,358,132,0,0,0,0,10,0,12
12001001202,1400000US12001001202,606,594,532,62,0,0,0,0,0,0,12
12001001202,1400000US12001001202,620,609,459,150,0,0,0,0,0,0,11
12001001203,1400000US12001001203,2017,1841,1596,245,111,0,12,29,0,0,24
12001001203,1400000US12001001203,1270,1151,939,212,66,0,0,29,0,0,24
12001001203,1400000US12001001203,1293,1174,962,212,66,0,0,29,0,0,24
12001001203,1400000US12001001203,1204,1109,897,212,42,0,0,29,0,0,24
12001001203,1400000US12001001203,1227,1132,920,212,42,0,0,29,0,0,24
12001001400,1400000US12001001400,1163,933,748,185,9,0,0,46,57,15,103
12001001400,1400000US12001001400,339,219,219,0,0,0,0,46,0,15,59
12001001400,1400000US12001001400,339,219,219,0,0,0,0,46,0,15,59
12001001400,1400000US12001001400,803,698,513,185,9,0,0,0,57,0,39
12001001400,1400000US12001001400,808,698,513,185,9,0,0,0,57,0,44
12001001400,1400000US12001001400,292,172,172,0,0,0,0,46,0,15,59
12001001400,1400000US12001001400,292,172,172,0,0,0,0,46,0,15,59
12001001400,1400000US12001001400,803,698,513,185,9,0,0,0,57,0,39
12001001400,1400000US12001001400,808,698,513,185,9,0,0,0,57,0,44
12001001515,1400000US12001001515,2756,1937,1605,332,420,0,29,236,89,14,31
12001001515,1400000US12001001515,1977,1529,1304,225,159,0,29,191,38,0,31
12001001515,1400000US12001001515,2035,1550,1325,225,159,0,29,191,75,0,31
12001001515,1400000US12001001515,1531,1221,1068,153,65,0,29,147,38,0,31
12001001515,1400000US12001001515,1566,1242,1089,153,65,0,29,147,52,0,31
12001001516,1400000US12001001516,1211,1089,959,130,85,0,18,19,0,0,0
12001001516,1400000US12001001516,715,627,590,37,51,0,18,19,0,0,0
12001001516,1400000US12001001516,732,627,590,37,68,0,18,19,0,0,0
12001001516,1400000US12001001516,656,568,531,37,51,0,18,19,0,0,0
12001001516,1400000US12001001516,656,568,531,37,51,0,18,19,0,0,0
12001001517,1400000US12001001517,2455,1986,1834,152,286,0,28,36,48,0,71
12001001517,1400000US12001001517,1547,1265,1165,100,177,0,28,0,48,0,29
12001001517,1400000US12001001517,1556,1274,1165,109,177,0,28,0,48,0,29
12001001517,1400000US12001001517,1245,1023,950,73,165,0,28,0,0,0,29
12001001517,1400000US12001001517,1245,1023,950,73,165,0,28,0,0,0,29
12001001519,1400000US12001001519,1347,1089,927,162,190,0,0,0,68,0,0
12001001519,1400000US12001001519,979,860,791,69,74,0,0,0,45,0,0
12001001519,1400000US12001001519,979,860,791,69,74,0,0,0,45,0,0
12001001520,1400000US12001001520,1053,835,752,83,65,0,0,109,0,0,44
12001001520,1400000US12001001520,592,472,435,37,19,0,0,94,0,0,7
