Id2,Id,Estimate; Total:,Estimate; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes
12001000200,1400000US12001000200,2458,133,693,724,643,152,13,76,0,0,0,24,0
12001000200,1400000US12001000200,2092,109,590,650,558,129,0,56,0,0,0,0,0
12001000200,1400000US12001000200,2101,109,590,650,567,129,0,56,0,0,0,0,0
12001000200,1400000US12001000200,271,24,103,52,61,11,0,20,0,0,0,0,0
12001000200,1400000US12001000200,302,24,103,74,70,11,0,20,0,0,0,0,0
12001000200,1400000US12001000200,1867,67,590,625,418,111,0,56,0,0,0,0,0
12001000200,1400000US12001000200,1867,67,590,625,418,111,0,56,0,0,0,0,0
12001000200,1400000US12001000200,271,24,103,52,61,11,0,20,0,0,0,0,0
12001000200,1400000US12001000200,293,24,103,74,61,11,0,20,0,0,0,0,0
12001000301,1400000US12001000301,1491,17,378,407,517,90,18,57,0,0,7,0,0
12001000301,1400000US12001000301,1250,17,322,282,517,79,18,8,0,0,7,0,0
12001000301,1400000US12001000301,1250,17,322,282,517,79,18,8,0,0,7,0,0
12001000301,1400000US12001000301,1118,0,286,220,500,79,18,8,0,0,7,0,0
12001000301,1400000US12001000301,1118,0,286,220,500,79,18,8,0,0,7,0,0
12001000302,1400000US12001000302,1408,25,345,312,245,224,30,164,0,0,0,63,0
12001000302,1400000US12001000302,1206,25,330,218,195,198,30,147,0,0,0,63,0
12001000302,1400000US12001000302,1234,25,345,218,208,198,30,147,0,0,0,63,0
12001000302,1400000US12001000302,1084,25,322,202,160,198,7,147,0,0,0,23,0
12001000302,1400000US12001000302,1112,25,337,202,173,198,7,147,0,0,0,23,0
12001000400,1400000US12001000400,2366,40,452,500,444,448,135,193,0,0,91,31,32
12001000400,1400000US12001000400,901,40,69,204,221,170,38,66,0,0,51,10,32
12001000400,1400000US12001000400,924,40,69,204,221,193,38,66,0,0,51,10,32
12001000400,1400000US12001000400,1405,0,383,285,205,255,97,119,0,0,40,21,0
12001000400,1400000US12001000400,1428,0,383,285,205,278,97,119,0,0,40,21,0
12001000400,1400000US12001000400,838,40,61,204,221,142,38,39,0,0,51,10,32
12001000400,1400000US12001000400,861,40,61,204,221,165,38,39,0,0,51,10,32
12001000400,1400000US12001000400,1405,0,383,285,205,255,97,119,0,0,40,21,0
12001000400,1400000US12001000400,1428,0,383,285,205,278,97,119,0,0,40,21,0
12001000500,1400000US12001000500,2702,155,573,709,556,321,77,142,19,14,64,72,0
12001000500,1400000US12001000500,2040,146,432,509,457,246,77,32,19,14,64,44,0
