Id2,Id,Estimate; Total:,Estimate; Total: - With Social Security income,Estimate; Total: - No Social Security income
12001000200,1400000US12001000200,2252,256,1996
12001000200,1400000US12001000200,1580,104,1476
12001000200,1400000US12001000200,1603,104,1499
12001000200,1400000US12001000200,501,140,361
12001000200,1400000US12001000200,532,140,392
12001000200,1400000US12001000200,1213,104,1109
12001000200,1400000US12001000200,1227,104,1123
12001000200,1400000US12001000200,501,140,361
12001000200,1400000US12001000200,523,140,383
12001000301,1400000US12001000301,1697,398,1299
12001000301,1400000US12001000301,1303,301,1002
12001000301,1400000US12001000301,1314,312,1002
12001000301,1400000US12001000301,1160,290,870
12001000301,1400000US12001000301,1171,301,870
12001000302,1400000US12001000302,1362,188,1174
12001000302,1400000US12001000302,1172,188,984
12001000302,1400000US12001000302,1200,188,1012
12001000302,1400000US12001000302,1092,175,917
12001000302,1400000US12001000302,1120,175,945
12001000400,1400000US12001000400,2167,583,1584
12001000400,1400000US12001000400,838,331,507
12001000400,1400000US12001000400,849,331,518
12001000400,1400000US12001000400,1284,226,1058
12001000400,1400000US12001000400,1295,226,1069
12001000400,1400000US12001000400,788,321,467
12001000400,1400000US12001000400,799,321,478
12001000400,1400000US12001000400,1284,226,1058
12001000400,1400000US12001000400,1295,226,1069
12001000500,1400000US12001000500,2279,385,1894
12001000500,1400000US12001000500,1788,273,1515
12001000500,1400000US12001000500,1788,273,1515
12001000500,1400000US12001000500,1698,273,1425
12001000500,1400000US12001000500,1698,273,1425
12001000600,1400000US12001000600,1632,358,1274
12001000600,1400000US12001000600,1489,334,1155
12001000600,1400000US12001000600,1494,334,1160
12001000600,1400000US12001000600,1446,321,1125
12001000600,1400000US12001000600,1451,321,1130
12001000700,1400000US12001000700,2279,981,1298
12001000700,1400000US12001000700,476,135,341
12001000700,1400000US12001000700,496,142,354
12001000700,1400000US12001000700,1708,828,880
12001000700,1400000US12001000700,1719,839,880
12001000700,1400000US12001000700,453,135,318
12001000700,1400000US12001000700,473,142,331
12001000700,1400000US12001000700,1708,828,880
12001000700,1400000US12001000700,1708,828,880
12001000806,1400000US12001000806,1072,33,1039
12001000806,1400000US12001000806,830,33,797
12001000806,1400000US12001000806,838,33,805
12001000806,1400000US12001000806,794,33,761
12001000806,1400000US12001000806,802,33,769
12001000808,1400000US12001000808,1894,146,1748
12001000808,1400000US12001000808,1034,110,924
12001000808,1400000US12001000808,1194,110,1084
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000808,1400000US12001000808,911,110,801
12001000808,1400000US12001000808,1027,110,917
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000809,1400000US12001000809,817,116,701
12001000809,1400000US12001000809,622,116,506
12001000809,1400000US12001000809,622,116,506
12001000809,1400000US12001000809,556,116,440
12001000901,1400000US12001000901,637,0,637
12001000901,1400000US12001000901,219,0,219
12001000901,1400000US12001000901,280,0,280
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,99,0,99
12001000901,1400000US12001000901,148,0,148
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000902,1400000US12001000902,164,0,164
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,0,0,0
12001000902,1400000US12001000902,0,0,0
12001001000,1400000US12001001000,2550,450,2100
12001001000,1400000US12001001000,2368,450,1918
12001001000,1400000US12001001000,2383,450,1933
12001001000,1400000US12001001000,2268,432,1836
12001001000,1400000US12001001000,2283,432,1851
12001001000,1400000US12001001000,460,129,331
12001001000,1400000US12001001000,497,49,448
12001001100,1400000US12001001100,2990,1075,1915
12001001100,1400000US12001001100,2632,993,1639
12001001100,1400000US12001001100,2651,1003,1648
12001001100,1400000US12001001100,2518,963,1555
12001001100,1400000US12001001100,2518,963,1555
12001001100,1400000US12001001100,578,208,370
12001001100,1400000US12001001100,702,178,524
12001001100,1400000US12001001100,473,91,382
12001001201,1400000US12001001201,1175,246,929
12001001201,1400000US12001001201,1041,231,810
12001001201,1400000US12001001201,1046,231,815
12001001201,1400000US12001001201,998,221,777
12001001201,1400000US12001001201,1003,221,782
12001001202,1400000US12001001202,3068,395,2673
12001001202,1400000US12001001202,2554,370,2184
12001001202,1400000US12001001202,2554,370,2184
12001001202,1400000US12001001202,2304,370,1934
12001001202,1400000US12001001202,2304,370,1934
12001001202,1400000US12001001202,448,88,360
12001001202,1400000US12001001202,491,119,372
12001001202,1400000US12001001202,490,44,446
12001001203,1400000US12001001203,1494,338,1156
12001001203,1400000US12001001203,1081,255,826
12001001203,1400000US12001001203,1107,255,852
12001001203,1400000US12001001203,1013,236,777
12001001203,1400000US12001001203,1028,236,792
12001001400,1400000US12001001400,901,213,688
12001001400,1400000US12001001400,344,79,265
12001001400,1400000US12001001400,360,84,276
12001001400,1400000US12001001400,525,129,396
12001001400,1400000US12001001400,530,134,396
12001001400,1400000US12001001400,332,79,253
12001001400,1400000US12001001400,348,84,264
12001001400,1400000US12001001400,525,129,396
12001001400,1400000US12001001400,530,134,396
12001001515,1400000US12001001515,2343,88,2255
12001001515,1400000US12001001515,1695,69,1626
12001001515,1400000US12001001515,1738,69,1669
12001001515,1400000US12001001515,1413,69,1344
12001001515,1400000US12001001515,1439,69,1370
12001001516,1400000US12001001516,1046,0,1046
12001001516,1400000US12001001516,690,0,690
12001001516,1400000US12001001516,707,0,707
12001001516,1400000US12001001516,619,0,619
12001001516,1400000US12001001516,619,0,619
12001001517,1400000US12001001517,2270,67,2203
12001001517,1400000US12001001517,1426,17,1409
12001001517,1400000US12001001517,1449,17,1432
12001001517,1400000US12001001517,1210,17,1193
12001001517,1400000US12001001517,1224,17,1207
12001001519,1400000US12001001519,871,12,859
12001001519,1400000US12001001519,579,12,567
12001001519,1400000US12001001519,609,12,597
12001001520,1400000US12001001520,1045,64,981
12001001520,1400000US12001001520,652,39,613
12001001520,1400000US12001001520,662,39,623
12001001520,1400000US12001001520,440,39,401
12001001520,1400000US12001001520,450,39,411
12001001521,1400000US12001001521,2085,71,2014
12001001521,1400000US12001001521,1570,71,1499
12001001521,1400000US12001001521,1588,71,1517
12001001521,1400000US12001001521,1381,71,1310
12001001521,1400000US12001001521,1399,71,1328
12001001603,1400000US12001001603,569,115,454
12001001603,1400000US12001001603,505,72,433
12001001604,1400000US12001001604,2561,259,2302
12001001604,1400000US12001001604,2240,215,2025
12001001604,1400000US12001001604,2249,215,2034
12001001604,1400000US12001001604,1935,215,1720
12001001604,1400000US12001001604,1935,215,1720
12001001701,1400000US12001001701,2436,689,1747
12001001701,1400000US12001001701,1826,617,1209
12001001701,1400000US12001001701,1879,637,1242
12001001701,1400000US12001001701,1728,617,1111
12001001701,1400000US12001001701,1747,617,1130
12001001701,1400000US12001001701,360,112,248
12001001701,1400000US12001001701,385,141,244
12001001701,1400000US12001001701,320,107,213
12001001702,1400000US12001001702,1999,731,1268
12001001702,1400000US12001001702,1760,675,1085
12001001702,1400000US12001001702,1770,685,1085
