Id2,Id,Estimate; Total:,Estimate; Total: - With Supplemental Security Income (SSI),Estimate; Total: - No Supplemental Security Income (SSI)
12001000200,1400000US12001000200,2252,28,2224
12001000200,1400000US12001000200,1580,0,1580
12001000200,1400000US12001000200,1603,0,1603
12001000200,1400000US12001000200,501,28,473
12001000200,1400000US12001000200,532,28,504
12001000200,1400000US12001000200,1213,0,1213
12001000200,1400000US12001000200,1227,0,1227
12001000200,1400000US12001000200,501,28,473
12001000200,1400000US12001000200,523,28,495
12001000301,1400000US12001000301,1697,66,1631
12001000301,1400000US12001000301,1303,14,1289
12001000301,1400000US12001000301,1314,14,1300
12001000301,1400000US12001000301,1160,14,1146
12001000301,1400000US12001000301,1171,14,1157
12001000302,1400000US12001000302,1362,56,1306
12001000302,1400000US12001000302,1172,56,1116
12001000302,1400000US12001000302,1200,56,1144
12001000302,1400000US12001000302,1092,56,1036
12001000302,1400000US12001000302,1120,56,1064
12001000400,1400000US12001000400,2167,86,2081
12001000400,1400000US12001000400,838,65,773
12001000400,1400000US12001000400,849,65,784
12001000400,1400000US12001000400,1284,10,1274
12001000400,1400000US12001000400,1295,10,1285
12001000400,1400000US12001000400,788,65,723
12001000400,1400000US12001000400,799,65,734
12001000400,1400000US12001000400,1284,10,1274
12001000400,1400000US12001000400,1295,10,1285
12001000500,1400000US12001000500,2279,139,2140
12001000500,1400000US12001000500,1788,88,1700
12001000500,1400000US12001000500,1788,88,1700
12001000500,1400000US12001000500,1698,88,1610
12001000500,1400000US12001000500,1698,88,1610
12001000600,1400000US12001000600,1632,106,1526
12001000600,1400000US12001000600,1489,101,1388
12001000600,1400000US12001000600,1494,106,1388
12001000600,1400000US12001000600,1446,101,1345
12001000600,1400000US12001000600,1451,106,1345
12001000700,1400000US12001000700,2279,202,2077
12001000700,1400000US12001000700,476,54,422
12001000700,1400000US12001000700,496,54,442
12001000700,1400000US12001000700,1708,143,1565
12001000700,1400000US12001000700,1719,143,1576
12001000700,1400000US12001000700,453,54,399
12001000700,1400000US12001000700,473,54,419
12001000700,1400000US12001000700,1708,143,1565
12001000700,1400000US12001000700,1708,143,1565
12001000806,1400000US12001000806,1072,9,1063
12001000806,1400000US12001000806,830,9,821
12001000806,1400000US12001000806,838,9,829
12001000806,1400000US12001000806,794,9,785
12001000806,1400000US12001000806,802,9,793
12001000808,1400000US12001000808,1894,61,1833
12001000808,1400000US12001000808,1034,49,985
12001000808,1400000US12001000808,1194,49,1145
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000808,1400000US12001000808,911,49,862
12001000808,1400000US12001000808,1027,49,978
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000809,1400000US12001000809,817,0,817
12001000809,1400000US12001000809,622,0,622
12001000809,1400000US12001000809,622,0,622
12001000809,1400000US12001000809,556,0,556
12001000901,1400000US12001000901,637,0,637
12001000901,1400000US12001000901,219,0,219
12001000901,1400000US12001000901,280,0,280
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,99,0,99
12001000901,1400000US12001000901,148,0,148
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000902,1400000US12001000902,164,11,153
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,46,11,35
12001000902,1400000US12001000902,46,11,35
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,46,11,35
12001000902,1400000US12001000902,46,11,35
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,0,0,0
12001000902,1400000US12001000902,0,0,0
12001001000,1400000US12001001000,2550,40,2510
12001001000,1400000US12001001000,2368,40,2328
12001001000,1400000US12001001000,2383,40,2343
12001001000,1400000US12001001000,2268,40,2228
12001001000,1400000US12001001000,2283,40,2243
12001001000,1400000US12001001000,460,12,448
12001001000,1400000US12001001000,497,0,497
12001001100,1400000US12001001100,2990,52,2938
12001001100,1400000US12001001100,2632,52,2580
12001001100,1400000US12001001100,2651,52,2599
12001001100,1400000US12001001100,2518,52,2466
12001001100,1400000US12001001100,2518,52,2466
12001001100,1400000US12001001100,578,12,566
12001001100,1400000US12001001100,702,13,689
12001001100,1400000US12001001100,473,14,459
12001001201,1400000US12001001201,1175,24,1151
12001001201,1400000US12001001201,1041,15,1026
12001001201,1400000US12001001201,1046,15,1031
12001001201,1400000US12001001201,998,15,983
12001001201,1400000US12001001201,1003,15,988
12001001202,1400000US12001001202,3068,111,2957
12001001202,1400000US12001001202,2554,54,2500
12001001202,1400000US12001001202,2554,54,2500
12001001202,1400000US12001001202,2304,54,2250
12001001202,1400000US12001001202,2304,54,2250
12001001202,1400000US12001001202,448,36,412
12001001202,1400000US12001001202,491,8,483
12001001202,1400000US12001001202,490,12,478
12001001203,1400000US12001001203,1494,14,1480
12001001203,1400000US12001001203,1081,10,1071
12001001203,1400000US12001001203,1107,10,1097
12001001203,1400000US12001001203,1013,10,1003
12001001203,1400000US12001001203,1028,10,1018
12001001400,1400000US12001001400,901,30,871
12001001400,1400000US12001001400,344,12,332
12001001400,1400000US12001001400,360,17,343
12001001400,1400000US12001001400,525,13,512
12001001400,1400000US12001001400,530,18,512
12001001400,1400000US12001001400,332,12,320
12001001400,1400000US12001001400,348,17,331
12001001400,1400000US12001001400,525,13,512
12001001400,1400000US12001001400,530,18,512
12001001515,1400000US12001001515,2343,36,2307
12001001515,1400000US12001001515,1695,17,1678
12001001515,1400000US12001001515,1738,17,1721
12001001515,1400000US12001001515,1413,17,1396
12001001515,1400000US12001001515,1439,17,1422
12001001516,1400000US12001001516,1046,33,1013
12001001516,1400000US12001001516,690,0,690
12001001516,1400000US12001001516,707,0,707
12001001516,1400000US12001001516,619,0,619
12001001516,1400000US12001001516,619,0,619
12001001517,1400000US12001001517,2270,61,2209
12001001517,1400000US12001001517,1426,61,1365
12001001517,1400000US12001001517,1449,61,1388
12001001517,1400000US12001001517,1210,61,1149
12001001517,1400000US12001001517,1224,61,1163
12001001519,1400000US12001001519,871,11,860
12001001519,1400000US12001001519,579,11,568
12001001519,1400000US12001001519,609,11,598
12001001520,1400000US12001001520,1045,14,1031
12001001520,1400000US12001001520,652,14,638
12001001520,1400000US12001001520,662,14,648
12001001520,1400000US12001001520,440,14,426
12001001520,1400000US12001001520,450,14,436
12001001521,1400000US12001001521,2085,13,2072
12001001521,1400000US12001001521,1570,13,1557
12001001521,1400000US12001001521,1588,13,1575
12001001521,1400000US12001001521,1381,13,1368
12001001521,1400000US12001001521,1399,13,1386
12001001603,1400000US12001001603,569,29,540
12001001603,1400000US12001001603,505,16,489
12001001604,1400000US12001001604,2561,18,2543
12001001604,1400000US12001001604,2240,0,2240
12001001604,1400000US12001001604,2249,9,2240
12001001604,1400000US12001001604,1935,0,1935
12001001604,1400000US12001001604,1935,0,1935
12001001701,1400000US12001001701,2436,56,2380
12001001701,1400000US12001001701,1826,56,1770
12001001701,1400000US12001001701,1879,56,1823
12001001701,1400000US12001001701,1728,56,1672
12001001701,1400000US12001001701,1747,56,1691
12001001701,1400000US12001001701,360,10,350
12001001701,1400000US12001001701,385,37,348
12001001701,1400000US12001001701,320,0,320
12001001702,1400000US12001001702,1999,23,1976
12001001702,1400000US12001001702,1760,23,1737
12001001702,1400000US12001001702,1770,23,1747
12001001702,1400000US12001001702,1760,23,1737
12001001702,1400000US12001001702,1770,23,1747
12001001702,1400000US12001001702,560,0,560
12001001702,1400000US12001001702,408,0,408
12001001801,1400000US12001001801,2666,40,2626
12001001801,1400000US12001001801,2130,40,2090
12001001801,1400000US12001001801,2227,40,2187
12001001801,1400000US12001001801,2028,40,1988
12001001801,1400000US12001001801,2125,40,2085
