Id2,Id,Estimate; Total:,Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income
12001000200,1400000US12001000200,2252,32,2220
12001000200,1400000US12001000200,1580,10,1570
12001000200,1400000US12001000200,1603,10,1593
12001000200,1400000US12001000200,501,0,501
12001000200,1400000US12001000200,532,22,510
12001000200,1400000US12001000200,1213,10,1203
12001000200,1400000US12001000200,1227,10,1217
12001000200,1400000US12001000200,501,0,501
12001000200,1400000US12001000200,523,22,501
12001000301,1400000US12001000301,1697,14,1683
12001000301,1400000US12001000301,1303,14,1289
12001000301,1400000US12001000301,1314,14,1300
12001000301,1400000US12001000301,1160,14,1146
12001000301,1400000US12001000301,1171,14,1157
12001000302,1400000US12001000302,1362,35,1327
12001000302,1400000US12001000302,1172,35,1137
12001000302,1400000US12001000302,1200,35,1165
12001000302,1400000US12001000302,1092,35,1057
12001000302,1400000US12001000302,1120,35,1085
12001000400,1400000US12001000400,2167,43,2124
12001000400,1400000US12001000400,838,0,838
12001000400,1400000US12001000400,849,0,849
12001000400,1400000US12001000400,1284,43,1241
12001000400,1400000US12001000400,1295,43,1252
12001000400,1400000US12001000400,788,0,788
12001000400,1400000US12001000400,799,0,799
12001000400,1400000US12001000400,1284,43,1241
12001000400,1400000US12001000400,1295,43,1252
12001000500,1400000US12001000500,2279,26,2253
12001000500,1400000US12001000500,1788,26,1762
12001000500,1400000US12001000500,1788,26,1762
12001000500,1400000US12001000500,1698,26,1672
12001000500,1400000US12001000500,1698,26,1672
12001000600,1400000US12001000600,1632,77,1555
12001000600,1400000US12001000600,1489,68,1421
12001000600,1400000US12001000600,1494,68,1426
12001000600,1400000US12001000600,1446,68,1378
12001000600,1400000US12001000600,1451,68,1383
12001000700,1400000US12001000700,2279,76,2203
12001000700,1400000US12001000700,476,0,476
12001000700,1400000US12001000700,496,0,496
12001000700,1400000US12001000700,1708,71,1637
12001000700,1400000US12001000700,1719,71,1648
12001000700,1400000US12001000700,453,0,453
12001000700,1400000US12001000700,473,0,473
12001000700,1400000US12001000700,1708,71,1637
12001000700,1400000US12001000700,1708,71,1637
12001000806,1400000US12001000806,1072,0,1072
12001000806,1400000US12001000806,830,0,830
12001000806,1400000US12001000806,838,0,838
12001000806,1400000US12001000806,794,0,794
12001000806,1400000US12001000806,802,0,802
12001000808,1400000US12001000808,1894,0,1894
12001000808,1400000US12001000808,1034,0,1034
12001000808,1400000US12001000808,1194,0,1194
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000808,1400000US12001000808,911,0,911
12001000808,1400000US12001000808,1027,0,1027
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000809,1400000US12001000809,817,0,817
12001000809,1400000US12001000809,622,0,622
12001000809,1400000US12001000809,622,0,622
12001000809,1400000US12001000809,556,0,556
12001000901,1400000US12001000901,637,31,606
12001000901,1400000US12001000901,219,0,219
12001000901,1400000US12001000901,280,31,249
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,99,0,99
12001000901,1400000US12001000901,148,31,117
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000902,1400000US12001000902,164,0,164
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,0,0,0
12001000902,1400000US12001000902,0,0,0
12001001000,1400000US12001001000,2550,0,2550
12001001000,1400000US12001001000,2368,0,2368
12001001000,1400000US12001001000,2383,0,2383
12001001000,1400000US12001001000,2268,0,2268
12001001000,1400000US12001001000,2283,0,2283
12001001000,1400000US12001001000,460,0,460
12001001000,1400000US12001001000,497,0,497
12001001100,1400000US12001001100,2990,16,2974
12001001100,1400000US12001001100,2632,0,2632
12001001100,1400000US12001001100,2651,0,2651
12001001100,1400000US12001001100,2518,0,2518
12001001100,1400000US12001001100,2518,0,2518
12001001100,1400000US12001001100,578,0,578
12001001100,1400000US12001001100,702,0,702
12001001100,1400000US12001001100,473,0,473
12001001201,1400000US12001001201,1175,38,1137
12001001201,1400000US12001001201,1041,38,1003
12001001201,1400000US12001001201,1046,38,1008
12001001201,1400000US12001001201,998,38,960
12001001201,1400000US12001001201,1003,38,965
12001001202,1400000US12001001202,3068,11,3057
12001001202,1400000US12001001202,2554,11,2543
12001001202,1400000US12001001202,2554,11,2543
12001001202,1400000US12001001202,2304,11,2293
12001001202,1400000US12001001202,2304,11,2293
12001001202,1400000US12001001202,448,0,448
12001001202,1400000US12001001202,491,0,491
12001001202,1400000US12001001202,490,11,479
12001001203,1400000US12001001203,1494,0,1494
12001001203,1400000US12001001203,1081,0,1081
12001001203,1400000US12001001203,1107,0,1107
12001001203,1400000US12001001203,1013,0,1013
12001001203,1400000US12001001203,1028,0,1028
12001001400,1400000US12001001400,901,26,875
12001001400,1400000US12001001400,344,19,325
12001001400,1400000US12001001400,360,19,341
12001001400,1400000US12001001400,525,7,518
12001001400,1400000US12001001400,530,7,523
12001001400,1400000US12001001400,332,19,313
12001001400,1400000US12001001400,348,19,329
12001001400,1400000US12001001400,525,7,518
12001001400,1400000US12001001400,530,7,523
12001001515,1400000US12001001515,2343,45,2298
12001001515,1400000US12001001515,1695,13,1682
12001001515,1400000US12001001515,1738,27,1711
12001001515,1400000US12001001515,1413,13,1400
12001001515,1400000US12001001515,1439,27,1412
12001001516,1400000US12001001516,1046,0,1046
12001001516,1400000US12001001516,690,0,690
12001001516,1400000US12001001516,707,0,707
12001001516,1400000US12001001516,619,0,619
12001001516,1400000US12001001516,619,0,619
12001001517,1400000US12001001517,2270,86,2184
12001001517,1400000US12001001517,1426,77,1349
12001001517,1400000US12001001517,1449,86,1363
12001001517,1400000US12001001517,1210,77,1133
12001001517,1400000US12001001517,1224,77,1147
12001001519,1400000US12001001519,871,0,871
12001001519,1400000US12001001519,579,0,579
12001001519,1400000US12001001519,609,0,609
12001001520,1400000US12001001520,1045,14,1031
12001001520,1400000US12001001520,652,14,638
12001001520,1400000US12001001520,662,14,648
12001001520,1400000US12001001520,440,14,426
12001001520,1400000US12001001520,450,14,436
12001001521,1400000US12001001521,2085,15,2070
12001001521,1400000US12001001521,1570,15,1555
12001001521,1400000US12001001521,1588,15,1573
12001001521,1400000US12001001521,1381,15,1366
12001001521,1400000US12001001521,1399,15,1384
12001001603,1400000US12001001603,569,0,569
12001001603,1400000US12001001603,505,0,505
12001001604,1400000US12001001604,2561,0,2561
12001001604,1400000US12001001604,2240,0,2240
12001001604,1400000US12001001604,2249,0,2249
12001001604,1400000US12001001604,1935,0,1935
12001001604,1400000US12001001604,1935,0,1935
12001001701,1400000US12001001701,2436,25,2411
12001001701,1400000US12001001701,1826,12,1814
12001001701,1400000US12001001701,1879,12,1867
12001001701,1400000US12001001701,1728,12,1716
12001001701,1400000US12001001701,1747,12,1735
12001001701,1400000US12001001701,360,0,360
12001001701,1400000US12001001701,385,0,385
12001001701,1400000US12001001701,320,12,308
12001001702,1400000US12001001702,1999,22,1977
12001001702,1400000US12001001702,1760,6,1754
12001001702,1400000US12001001702,1770,6,1764
12001001702,1400000US12001001702,1760,6,1754
12001001702,1400000US12001001702,1770,6,1764
12001001702,1400000US12001001702,560,6,554
12001001702,1400000US12001001702,408,6,402
12001001801,1400000US12001001801,2666,72,2594
12001001801,1400000US12001001801,2130,47,2083
12001001801,1400000US12001001801,2227,59,2168
12001001801,1400000US12001001801,2028,47,1981
12001001801,1400000US12001001801,2125,59,2066
12001001801,1400000US12001001801,376,0,376
12001001802,1400000US12001001802,1118,34,1084
12001001802,1400000US12001001802,700,34,666
12001001802,1400000US12001001802,700,34,666
12001001802,1400000US12001001802,620,11,609
12001001802,1400000US12001001802,620,11,609
12001001803,1400000US12001001803,2668,132,2536
12001001803,1400000US12001001803,2010,88,1922
12001001803,1400000US12001001803,2061,88,1973
12001001803,1400000US12001001803,396,44,352
12001001803,1400000US12001001803,455,44,411
12001001803,1400000US12001001803,1880,88,1792
12001001803,1400000US12001001803,1931,88,1843
12001001803,1400000US12001001803,381,44,337
12001001803,1400000US12001001803,440,44,396
12001001803,1400000US12001001803,438,13,425
12001001803,1400000US12001001803,495,0,495
12001001805,1400000US12001001805,642,0,642
12001001805,1400000US12001001805,475,0,475
12001001805,1400000US12001001805,475,0,475
12001001805,1400000US12001001805,475,0,475
12001001805,1400000US12001001805,475,0,475
12001001806,1400000US12001001806,3574,18,3556
12001001806,1400000US12001001806,3115,12,3103
12001001806,1400000US12001001806,3148,12,3136
12001001806,1400000US12001001806,374,6,368
