Id2,Id,Estimate; Total:,Estimate; Total: - With retirement income,Estimate; Total: - No retirement income
12001000200,1400000US12001000200,2252,110,2142
12001000200,1400000US12001000200,1580,17,1563
12001000200,1400000US12001000200,1603,17,1586
12001000200,1400000US12001000200,501,93,408
12001000200,1400000US12001000200,532,93,439
12001000200,1400000US12001000200,1213,17,1196
12001000200,1400000US12001000200,1227,17,1210
12001000200,1400000US12001000200,501,93,408
12001000200,1400000US12001000200,523,93,430
12001000301,1400000US12001000301,1697,110,1587
12001000301,1400000US12001000301,1303,71,1232
12001000301,1400000US12001000301,1314,82,1232
12001000301,1400000US12001000301,1160,71,1089
12001000301,1400000US12001000301,1171,82,1089
12001000302,1400000US12001000302,1362,67,1295
12001000302,1400000US12001000302,1172,67,1105
12001000302,1400000US12001000302,1200,67,1133
12001000302,1400000US12001000302,1092,54,1038
12001000302,1400000US12001000302,1120,54,1066
12001000400,1400000US12001000400,2167,300,1867
12001000400,1400000US12001000400,838,107,731
12001000400,1400000US12001000400,849,107,742
12001000400,1400000US12001000400,1284,193,1091
12001000400,1400000US12001000400,1295,193,1102
12001000400,1400000US12001000400,788,107,681
12001000400,1400000US12001000400,799,107,692
12001000400,1400000US12001000400,1284,193,1091
12001000400,1400000US12001000400,1295,193,1102
12001000500,1400000US12001000500,2279,213,2066
12001000500,1400000US12001000500,1788,182,1606
12001000500,1400000US12001000500,1788,182,1606
12001000500,1400000US12001000500,1698,182,1516
12001000500,1400000US12001000500,1698,182,1516
12001000600,1400000US12001000600,1632,219,1413
12001000600,1400000US12001000600,1489,172,1317
12001000600,1400000US12001000600,1494,172,1322
12001000600,1400000US12001000600,1446,159,1287
12001000600,1400000US12001000600,1451,159,1292
12001000700,1400000US12001000700,2279,575,1704
12001000700,1400000US12001000700,476,59,417
12001000700,1400000US12001000700,496,59,437
12001000700,1400000US12001000700,1708,511,1197
12001000700,1400000US12001000700,1719,511,1208
12001000700,1400000US12001000700,453,59,394
12001000700,1400000US12001000700,473,59,414
12001000700,1400000US12001000700,1708,511,1197
12001000700,1400000US12001000700,1708,511,1197
12001000806,1400000US12001000806,1072,25,1047
12001000806,1400000US12001000806,830,25,805
12001000806,1400000US12001000806,838,25,813
12001000806,1400000US12001000806,794,25,769
12001000806,1400000US12001000806,802,25,777
12001000808,1400000US12001000808,1894,82,1812
12001000808,1400000US12001000808,1034,38,996
12001000808,1400000US12001000808,1194,50,1144
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000808,1400000US12001000808,911,27,884
12001000808,1400000US12001000808,1027,39,988
12001000808,1400000US12001000808,414,0,414
12001000808,1400000US12001000808,462,0,462
12001000809,1400000US12001000809,817,142,675
12001000809,1400000US12001000809,622,87,535
12001000809,1400000US12001000809,622,87,535
12001000809,1400000US12001000809,556,87,469
12001000901,1400000US12001000901,637,0,637
12001000901,1400000US12001000901,219,0,219
12001000901,1400000US12001000901,280,0,280
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,99,0,99
12001000901,1400000US12001000901,148,0,148
12001000901,1400000US12001000901,290,0,290
12001000901,1400000US12001000901,290,0,290
12001000902,1400000US12001000902,164,0,164
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,22,0,22
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,14,0,14
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,46,0,46
12001000902,1400000US12001000902,77,0,77
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,8,0,8
12001000902,1400000US12001000902,0,0,0
12001000902,1400000US12001000902,0,0,0
12001001000,1400000US12001001000,2550,423,2127
12001001000,1400000US12001001000,2368,423,1945
12001001000,1400000US12001001000,2383,423,1960
12001001000,1400000US12001001000,2268,391,1877
12001001000,1400000US12001001000,2283,391,1892
12001001000,1400000US12001001000,460,119,341
12001001000,1400000US12001001000,497,60,437
12001001100,1400000US12001001100,2990,804,2186
12001001100,1400000US12001001100,2632,749,1883
12001001100,1400000US12001001100,2651,749,1902
12001001100,1400000US12001001100,2518,719,1799
12001001100,1400000US12001001100,2518,719,1799
12001001100,1400000US12001001100,578,158,420
12001001100,1400000US12001001100,702,94,608
12001001100,1400000US12001001100,473,68,405
12001001201,1400000US12001001201,1175,180,995
12001001201,1400000US12001001201,1041,180,861
12001001201,1400000US12001001201,1046,180,866
12001001201,1400000US12001001201,998,170,828
12001001201,1400000US12001001201,1003,170,833
12001001202,1400000US12001001202,3068,449,2619
12001001202,1400000US12001001202,2554,407,2147
12001001202,1400000US12001001202,2554,407,2147
12001001202,1400000US12001001202,2304,397,1907
12001001202,1400000US12001001202,2304,397,1907
12001001202,1400000US12001001202,448,142,306
12001001202,1400000US12001001202,491,63,428
12001001202,1400000US12001001202,490,102,388
12001001203,1400000US12001001203,1494,252,1242
12001001203,1400000US12001001203,1081,229,852
12001001203,1400000US12001001203,1107,229,878
12001001203,1400000US12001001203,1013,195,818
12001001203,1400000US12001001203,1028,195,833
12001001400,1400000US12001001400,901,157,744
12001001400,1400000US12001001400,344,64,280
12001001400,1400000US12001001400,360,64,296
12001001400,1400000US12001001400,525,93,432
12001001400,1400000US12001001400,530,93,437
12001001400,1400000US12001001400,332,52,280
12001001400,1400000US12001001400,348,52,296
12001001400,1400000US12001001400,525,93,432
12001001400,1400000US12001001400,530,93,437
12001001515,1400000US12001001515,2343,25,2318
12001001515,1400000US12001001515,1695,6,1689
12001001515,1400000US12001001515,1738,6,1732
12001001515,1400000US12001001515,1413,6,1407
12001001515,1400000US12001001515,1439,6,1433
12001001516,1400000US12001001516,1046,14,1032
12001001516,1400000US12001001516,690,14,676
12001001516,1400000US12001001516,707,14,693
12001001516,1400000US12001001516,619,14,605
12001001516,1400000US12001001516,619,14,605
12001001517,1400000US12001001517,2270,57,2213
12001001517,1400000US12001001517,1426,57,1369
12001001517,1400000US12001001517,1449,57,1392
12001001517,1400000US12001001517,1210,40,1170
12001001517,1400000US12001001517,1224,40,1184
12001001519,1400000US12001001519,871,12,859
12001001519,1400000US12001001519,579,12,567
12001001519,1400000US12001001519,609,12,597
