Id2,Id,Estimate; Median family income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2010 inflation-adjusted dollars)
12001000200,1400000US12001000200,18136,6596
12001000200,1400000US12001000200,43750,17106
12001000200,1400000US12001000200,43750,17106
12001000200,1400000US12001000200,17818,9687
12001000200,1400000US12001000200,17818,9687
12001000200,1400000US12001000200,27417,36280
12001000200,1400000US12001000200,27417,36280
12001000200,1400000US12001000200,17818,9687
12001000200,1400000US12001000200,17818,9687
12001000301,1400000US12001000301,59331,14170
12001000301,1400000US12001000301,63393,18087
12001000301,1400000US12001000301,59826,18954
12001000301,1400000US12001000301,63393,31471
12001000301,1400000US12001000301,59826,31043
12001000302,1400000US12001000302,42019,14220
12001000302,1400000US12001000302,45893,24379
12001000302,1400000US12001000302,47232,24691
12001000302,1400000US12001000302,45893,32949
12001000302,1400000US12001000302,47232,33241
12001000400,1400000US12001000400,45576,5200
12001000400,1400000US12001000400,51922,2790
12001000400,1400000US12001000400,52127,2829
12001000400,1400000US12001000400,39754,7793
12001000400,1400000US12001000400,40000,7489
12001000400,1400000US12001000400,52369,2823
12001000400,1400000US12001000400,52609,3422
12001000400,1400000US12001000400,39754,7793
12001000400,1400000US12001000400,40000,7489
12001000500,1400000US12001000500,46346,9001
12001000500,1400000US12001000500,54485,11941
12001000500,1400000US12001000500,54485,11941
12001000500,1400000US12001000500,54485,11941
12001000500,1400000US12001000500,54485,11941
12001000600,1400000US12001000600,25576,4912
12001000600,1400000US12001000600,23646,5874
12001000600,1400000US12001000600,23819,5888
12001000600,1400000US12001000600,24688,6142
12001000600,1400000US12001000600,24861,6142
12001000700,1400000US12001000700,32250,8543
12001000700,1400000US12001000700,41944,5011
12001000700,1400000US12001000700,41944,5011
12001000700,1400000US12001000700,31600,5464
12001000700,1400000US12001000700,31600,5464
12001000700,1400000US12001000700,42401,5405
12001000700,1400000US12001000700,42401,5405
12001000700,1400000US12001000700,31600,5464
12001000700,1400000US12001000700,31600,5464
12001000806,1400000US12001000806,54531,39000
12001000806,1400000US12001000806,62846,53991
12001000806,1400000US12001000806,62692,64942
12001000806,1400000US12001000806,63096,45033
12001000806,1400000US12001000806,62942,50560
12001000808,1400000US12001000808,41458,18677
12001000808,1400000US12001000808,50833,30383
12001000808,1400000US12001000808,50833,20078
12001000808,1400000US12001000808,20385,12030
