Id2,Id,Estimate; Per capita income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2010 inflation-adjusted dollars)
12001000200,1400000US12001000200,7073,1399
12001000200,1400000US12001000200,6413,1398
12001000200,1400000US12001000200,6357,1357
12001000200,1400000US12001000200,11513,4343
12001000200,1400000US12001000200,10936,3979
12001000200,1400000US12001000200,6663,1608
12001000200,1400000US12001000200,6596,1570
12001000200,1400000US12001000200,11513,4343
12001000200,1400000US12001000200,11137,4194
12001000301,1400000US12001000301,17828,3298
12001000301,1400000US12001000301,18907,3758
12001000301,1400000US12001000301,18905,3707
12001000301,1400000US12001000301,19237,4004
12001000301,1400000US12001000301,19228,3945
12001000302,1400000US12001000302,23175,4258
12001000302,1400000US12001000302,26166,5255
12001000302,1400000US12001000302,25585,5157
12001000302,1400000US12001000302,27017,6029
12001000302,1400000US12001000302,26321,5890
12001000400,1400000US12001000400,16705,2396
12001000400,1400000US12001000400,22725,4715
12001000400,1400000US12001000400,21067,4304
12001000400,1400000US12001000400,14404,2640
12001000400,1400000US12001000400,13925,2354
12001000400,1400000US12001000400,23482,4721
12001000400,1400000US12001000400,21620,4290
12001000400,1400000US12001000400,14404,2640
12001000400,1400000US12001000400,13925,2354
12001000500,1400000US12001000500,22346,3513
12001000500,1400000US12001000500,25535,4409
12001000500,1400000US12001000500,25394,4392
12001000500,1400000US12001000500,25828,4595
12001000500,1400000US12001000500,25679,4585
12001000600,1400000US12001000600,11092,1360
12001000600,1400000US12001000600,10771,1558
12001000600,1400000US12001000600,10779,1546
12001000600,1400000US12001000600,10954,1596
12001000600,1400000US12001000600,10962,1584
12001000700,1400000US12001000700,15072,1676
12001000700,1400000US12001000700,21548,4172
12001000700,1400000US12001000700,21375,4113
12001000700,1400000US12001000700,14146,1798
12001000700,1400000US12001000700,14298,1830
12001000700,1400000US12001000700,23458,5720
12001000700,1400000US12001000700,23220,5626
12001000700,1400000US12001000700,14151,1803
12001000700,1400000US12001000700,14317,1836
12001000806,1400000US12001000806,15302,3794
12001000806,1400000US12001000806,14709,4637
12001000806,1400000US12001000806,14674,4611
12001000806,1400000US12001000806,15155,4753
12001000806,1400000US12001000806,15116,4725
12001000808,1400000US12001000808,15781,3021
12001000808,1400000US12001000808,19795,3718
12001000808,1400000US12001000808,20213,3582
12001000808,1400000US12001000808,7725,3288
12001000808,1400000US12001000808,7945,3099
12001000808,1400000US12001000808,20538,3646
12001000808,1400000US12001000808,20177,3482
12001000808,1400000US12001000808,7725,3288
12001000808,1400000US12001000808,7945,3099
12001000809,1400000US12001000809,19746,4753
12001000809,1400000US12001000809,19895,4854
12001000809,1400000US12001000809,19072,4527
12001000809,1400000US12001000809,20006,4607
12001000901,1400000US12001000901,4384,730
12001000901,1400000US12001000901,3630,609
12001000901,1400000US12001000901,3587,592
12001000901,1400000US12001000901,8042,2506
12001000901,1400000US12001000901,7860,2390
12001000901,1400000US12001000901,3175,520
12001000901,1400000US12001000901,3091,523
12001000901,1400000US12001000901,8042,2506
12001000901,1400000US12001000901,7860,2390
12001000902,1400000US12001000902,2533,351
12001000902,1400000US12001000902,2435,337
12001000902,1400000US12001000902,2432,342
12001000902,1400000US12001000902,2384,846
12001000902,1400000US12001000902,2384,846
12001000902,1400000US12001000902,3845,1497
12001000902,1400000US12001000902,1775,412
12001000902,1400000US12001000902,2572,380
12001000902,1400000US12001000902,2565,383
12001000902,1400000US12001000902,2384,846
12001000902,1400000US12001000902,2384,846
12001000902,1400000US12001000902,3845,1497
12001000902,1400000US12001000902,1825,417
12001000902,1400000US12001000902,1825,417
12001000902,1400000US12001000902,2240,506
12001000902,1400000US12001000902,2275,701
12001001000,1400000US12001001000,23634,3708
12001001000,1400000US12001001000,24415,3896
12001001000,1400000US12001001000,24395,3881
12001001000,1400000US12001001000,24799,4317
12001001000,1400000US12001001000,24777,4298
12001001000,1400000US12001001000,41014,17477
12001001000,1400000US12001001000,25080,10645
12001001100,1400000US12001001100,47767,6785
12001001100,1400000US12001001100,47792,6127
12001001100,1400000US12001001100,47006,6084
12001001100,1400000US12001001100,48629,6269
12001001100,1400000US12001001100,47699,6269
12001001100,1400000US12001001100,45442,7915
12001001100,1400000US12001001100,54537,13052
12001001100,1400000US12001001100,54330,20520
12001001201,1400000US12001001201,29784,4053
12001001201,1400000US12001001201,34026,4411
12001001201,1400000US12001001201,33322,4605
12001001201,1400000US12001001201,35428,4619
12001001201,1400000US12001001201,34630,4851
12001001202,1400000US12001001202,29515,3475
12001001202,1400000US12001001202,32841,4142
12001001202,1400000US12001001202,32256,4086
12001001202,1400000US12001001202,34111,4369
12001001202,1400000US12001001202,33413,4307
12001001202,1400000US12001001202,28149,8769
12001001202,1400000US12001001202,36569,8370
12001001202,1400000US12001001202,31956,6162
12001001203,1400000US12001001203,20256,3086
12001001203,1400000US12001001203,24044,3235
12001001203,1400000US12001001203,23299,3246
12001001203,1400000US12001001203,24854,3458
12001001203,1400000US12001001203,24047,3493
12001001400,1400000US12001001400,14334,2958
12001001400,1400000US12001001400,20634,7963
12001001400,1400000US12001001400,20045,7486
12001001400,1400000US12001001400,11064,2188
12001001400,1400000US12001001400,10913,2155
12001001400,1400000US12001001400,20539,8491
12001001400,1400000US12001001400,19898,7967
12001001400,1400000US12001001400,11064,2188
12001001400,1400000US12001001400,10913,2155
12001001515,1400000US12001001515,12783,2213
12001001515,1400000US12001001515,12863,2821
12001001515,1400000US12001001515,12673,2728
12001001515,1400000US12001001515,12644,3196
12001001515,1400000US12001001515,12501,3113
12001001516,1400000US12001001516,14467,4853
12001001516,1400000US12001001516,10725,3138
12001001516,1400000US12001001516,10748,3097
12001001516,1400000US12001001516,11650,3419
12001001516,1400000US12001001516,11650,3419
12001001517,1400000US12001001517,12600,2117
12001001517,1400000US12001001517,13061,2622
12001001517,1400000US12001001517,12934,2481
12001001517,1400000US12001001517,14203,3009
12001001517,1400000US12001001517,14039,2838
12001001519,1400000US12001001519,8968,2433
12001001519,1400000US12001001519,9243,3260
12001001519,1400000US12001001519,8825,3101
12001001520,1400000US12001001520,12648,2157
12001001520,1400000US12001001520,12511,2762
12001001520,1400000US12001001520,12674,2718
12001001520,1400000US12001001520,13830,2756
12001001520,1400000US12001001520,14033,2681
12001001521,1400000US12001001521,15795,1992
12001001521,1400000US12001001521,16838,2534
12001001521,1400000US12001001521,16565,2453
12001001521,1400000US12001001521,17832,2697
12001001521,1400000US12001001521,17505,2613
12001001603,1400000US12001001603,24658,9005
12001001603,1400000US12001001603,27766,10602
12001001604,1400000US12001001604,18465,3479
12001001604,1400000US12001001604,20113,3627
12001001604,1400000US12001001604,19964,3572
12001001604,1400000US12001001604,20820,4003
12001001604,1400000US12001001604,20699,3951
12001001701,1400000US12001001701,26463,3671
12001001701,1400000US12001001701,29668,4236
