Id2,Id,Estimate; Total:,Estimate; Total: - Utility gas,"Estimate; Total: - Bottled, tank, or LP gas",Estimate; Total: - Electricity,"Estimate; Total: - Fuel oil, kerosene, etc.",Estimate; Total: - Coal or coke,Estimate; Total: - Wood,Estimate; Total: - Solar energy,Estimate; Total: - Other fuel,Estimate; Total: - No fuel used
12001000200,1400000US12001000200,2252,555,75,1608,0,0,0,0,0,14
12001000200,1400000US12001000200,1580,329,42,1195,0,0,0,0,0,14
12001000200,1400000US12001000200,1603,338,42,1209,0,0,0,0,0,14
12001000200,1400000US12001000200,501,182,33,286,0,0,0,0,0,0
12001000200,1400000US12001000200,532,191,33,308,0,0,0,0,0,0
12001000200,1400000US12001000200,1213,329,42,828,0,0,0,0,0,14
12001000200,1400000US12001000200,1227,329,42,842,0,0,0,0,0,14
12001000200,1400000US12001000200,501,182,33,286,0,0,0,0,0,0
12001000200,1400000US12001000200,523,182,33,308,0,0,0,0,0,0
12001000301,1400000US12001000301,1697,454,0,1187,35,0,0,0,0,21
12001000301,1400000US12001000301,1303,364,0,900,18,0,0,0,0,21
12001000301,1400000US12001000301,1314,364,0,911,18,0,0,0,0,21
12001000301,1400000US12001000301,1160,364,0,757,18,0,0,0,0,21
12001000301,1400000US12001000301,1171,364,0,768,18,0,0,0,0,21
12001000302,1400000US12001000302,1362,454,25,883,0,0,0,0,0,0
12001000302,1400000US12001000302,1172,411,25,736,0,0,0,0,0,0
12001000302,1400000US12001000302,1200,411,25,764,0,0,0,0,0,0
12001000302,1400000US12001000302,1092,398,25,669,0,0,0,0,0,0
12001000302,1400000US12001000302,1120,398,25,697,0,0,0,0,0,0
12001000400,1400000US12001000400,2167,821,50,1198,81,0,0,0,0,17
12001000400,1400000US12001000400,838,270,50,441,60,0,0,0,0,17
12001000400,1400000US12001000400,849,270,50,452,60,0,0,0,0,17
12001000400,1400000US12001000400,1284,551,0,712,21,0,0,0,0,0
12001000400,1400000US12001000400,1295,551,0,723,21,0,0,0,0,0
12001000400,1400000US12001000400,788,270,50,391,60,0,0,0,0,17
12001000400,1400000US12001000400,799,270,50,402,60,0,0,0,0,17
12001000400,1400000US12001000400,1284,551,0,712,21,0,0,0,0,0
12001000400,1400000US12001000400,1295,551,0,723,21,0,0,0,0,0
12001000500,1400000US12001000500,2279,692,29,1494,43,0,21,0,0,0
12001000500,1400000US12001000500,1788,628,15,1081,43,0,21,0,0,0
12001000500,1400000US12001000500,1788,628,15,1081,43,0,21,0,0,0
12001000500,1400000US12001000500,1698,628,15,991,43,0,21,0,0,0
12001000500,1400000US12001000500,1698,628,15,991,43,0,21,0,0,0
12001000600,1400000US12001000600,1632,464,76,1039,53,0,0,0,0,0
12001000600,1400000US12001000600,1489,401,65,970,53,0,0,0,0,0
12001000600,1400000US12001000600,1494,406,65,970,53,0,0,0,0,0
12001000600,1400000US12001000600,1446,401,65,927,53,0,0,0,0,0
12001000600,1400000US12001000600,1451,406,65,927,53,0,0,0,0,0
12001000700,1400000US12001000700,2279,521,179,1432,110,0,26,0,0,11
12001000700,1400000US12001000700,476,0,49,380,10,0,26,0,0,11
12001000700,1400000US12001000700,496,0,49,400,10,0,26,0,0,11
12001000700,1400000US12001000700,1708,470,130,1008,100,0,0,0,0,0
12001000700,1400000US12001000700,1719,470,130,1019,100,0,0,0,0,0
12001000700,1400000US12001000700,453,0,49,357,10,0,26,0,0,11
12001000700,1400000US12001000700,473,0,49,377,10,0,26,0,0,11
12001000700,1400000US12001000700,1708,470,130,1008,100,0,0,0,0,0
12001000700,1400000US12001000700,1708,470,130,1008,100,0,0,0,0,0
12001000806,1400000US12001000806,1072,128,17,927,0,0,0,0,0,0
12001000806,1400000US12001000806,830,128,17,685,0,0,0,0,0,0
12001000806,1400000US12001000806,838,128,17,693,0,0,0,0,0,0
12001000806,1400000US12001000806,794,128,17,649,0,0,0,0,0,0
12001000806,1400000US12001000806,802,128,17,657,0,0,0,0,0,0
12001000808,1400000US12001000808,1894,117,0,1725,23,0,0,8,0,21
12001000808,1400000US12001000808,1034,98,0,919,0,0,0,8,0,9
12001000808,1400000US12001000808,1194,98,0,1079,0,0,0,8,0,9
12001000808,1400000US12001000808,414,19,0,395,0,0,0,0,0,0
12001000808,1400000US12001000808,462,19,0,443,0,0,0,0,0,0
12001000808,1400000US12001000808,911,98,0,796,0,0,0,8,0,9
12001000808,1400000US12001000808,1027,98,0,912,0,0,0,8,0,9
12001000808,1400000US12001000808,414,19,0,395,0,0,0,0,0,0
12001000808,1400000US12001000808,462,19,0,443,0,0,0,0,0,0
12001000809,1400000US12001000809,817,42,0,761,14,0,0,0,0,0
12001000809,1400000US12001000809,622,42,0,566,14,0,0,0,0,0
12001000809,1400000US12001000809,622,42,0,566,14,0,0,0,0,0
12001000809,1400000US12001000809,556,42,0,500,14,0,0,0,0,0
12001000901,1400000US12001000901,637,92,9,532,4,0,0,0,0,0
12001000901,1400000US12001000901,219,36,0,183,0,0,0,0,0,0
12001000901,1400000US12001000901,280,48,0,232,0,0,0,0,0,0
12001000901,1400000US12001000901,290,33,9,248,0,0,0,0,0,0
12001000901,1400000US12001000901,290,33,9,248,0,0,0,0,0,0
12001000901,1400000US12001000901,99,22,0,77,0,0,0,0,0,0
12001000901,1400000US12001000901,148,22,0,126,0,0,0,0,0,0
12001000901,1400000US12001000901,290,33,9,248,0,0,0,0,0,0
12001000901,1400000US12001000901,290,33,9,248,0,0,0,0,0,0
12001000902,1400000US12001000902,164,13,0,151,0,0,0,0,0,0
12001000902,1400000US12001000902,22,0,0,22,0,0,0,0,0,0
12001000902,1400000US12001000902,22,0,0,22,0,0,0,0,0,0
12001000902,1400000US12001000902,46,0,0,46,0,0,0,0,0,0
12001000902,1400000US12001000902,46,0,0,46,0,0,0,0,0,0
12001000902,1400000US12001000902,77,13,0,64,0,0,0,0,0,0
12001000902,1400000US12001000902,8,0,0,8,0,0,0,0,0,0
12001000902,1400000US12001000902,14,0,0,14,0,0,0,0,0,0
12001000902,1400000US12001000902,14,0,0,14,0,0,0,0,0,0
12001000902,1400000US12001000902,46,0,0,46,0,0,0,0,0,0
12001000902,1400000US12001000902,46,0,0,46,0,0,0,0,0,0
12001000902,1400000US12001000902,77,13,0,64,0,0,0,0,0,0
12001000902,1400000US12001000902,8,0,0,8,0,0,0,0,0,0
12001000902,1400000US12001000902,8,0,0,8,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0,0,0
12001000902,1400000US12001000902,0,0,0,0,0,0,0,0,0,0
12001001000,1400000US12001001000,2550,741,0,1756,39,0,0,14,0,0
12001001000,1400000US12001001000,2368,656,0,1659,39,0,0,14,0,0
12001001000,1400000US12001001000,2383,656,0,1674,39,0,0,14,0,0
12001001000,1400000US12001001000,2268,647,0,1582,39,0,0,0,0,0
12001001000,1400000US12001001000,2283,647,0,1597,39,0,0,0,0,0
12001001000,1400000US12001001000,460,113,0,335,12,0,0,0,0,0
12001001000,1400000US12001001000,497,137,0,350,10,0,0,0,0,0
12001001100,1400000US12001001100,2990,1331,0,1659,0,0,0,0,0,0
12001001100,1400000US12001001100,2632,1155,0,1477,0,0,0,0,0,0
12001001100,1400000US12001001100,2651,1165,0,1486,0,0,0,0,0,0
12001001100,1400000US12001001100,2518,1066,0,1452,0,0,0,0,0,0
12001001100,1400000US12001001100,2518,1066,0,1452,0,0,0,0,0,0
12001001100,1400000US12001001100,578,311,0,267,0,0,0,0,0,0
12001001100,1400000US12001001100,702,336,0,366,0,0,0,0,0,0
12001001100,1400000US12001001100,473,205,0,268,0,0,0,0,0,0
12001001201,1400000US12001001201,1175,543,0,632,0,0,0,0,0,0
12001001201,1400000US12001001201,1041,483,0,558,0,0,0,0,0,0
12001001201,1400000US12001001201,1046,483,0,563,0,0,0,0,0,0
12001001201,1400000US12001001201,998,458,0,540,0,0,0,0,0,0
12001001201,1400000US12001001201,1003,458,0,545,0,0,0,0,0,0
12001001202,1400000US12001001202,3068,1448,55,1532,0,0,33,0,0,0
12001001202,1400000US12001001202,2554,1241,55,1225,0,0,33,0,0,0
12001001202,1400000US12001001202,2554,1241,55,1225,0,0,33,0,0,0
12001001202,1400000US12001001202,2304,1072,55,1144,0,0,33,0,0,0
12001001202,1400000US12001001202,2304,1072,55,1144,0,0,33,0,0,0
12001001202,1400000US12001001202,448,235,16,164,0,0,33,0,0,0
12001001202,1400000US12001001202,491,307,0,184,0,0,0,0,0,0
12001001202,1400000US12001001202,490,234,0,256,0,0,0,0,0,0
12001001203,1400000US12001001203,1494,430,0,1042,22,0,0,0,0,0
12001001203,1400000US12001001203,1081,348,0,711,22,0,0,0,0,0
12001001203,1400000US12001001203,1107,348,0,737,22,0,0,0,0,0
12001001203,1400000US12001001203,1013,329,0,662,22,0,0,0,0,0
12001001203,1400000US12001001203,1028,329,0,677,22,0,0,0,0,0
12001001400,1400000US12001001400,901,56,100,717,0,0,14,0,0,14
12001001400,1400000US12001001400,344,0,43,287,0,0,14,0,0,0
12001001400,1400000US12001001400,360,0,43,303,0,0,14,0,0,0
12001001400,1400000US12001001400,525,56,57,398,0,0,0,0,0,14
12001001400,1400000US12001001400,530,56,57,403,0,0,0,0,0,14
12001001400,1400000US12001001400,332,0,43,275,0,0,14,0,0,0
12001001400,1400000US12001001400,348,0,43,291,0,0,14,0,0,0
12001001400,1400000US12001001400,525,56,57,398,0,0,0,0,0,14
12001001400,1400000US12001001400,530,56,57,403,0,0,0,0,0,14
12001001515,1400000US12001001515,2343,0,0,2338,0,0,0,0,0,5
12001001515,1400000US12001001515,1695,0,0,1690,0,0,0,0,0,5
12001001515,1400000US12001001515,1738,0,0,1733,0,0,0,0,0,5
12001001515,1400000US12001001515,1413,0,0,1408,0,0,0,0,0,5
12001001515,1400000US12001001515,1439,0,0,1434,0,0,0,0,0,5
12001001516,1400000US12001001516,1046,81,11,954,0,0,0,0,0,0
12001001516,1400000US12001001516,690,81,11,598,0,0,0,0,0,0
12001001516,1400000US12001001516,707,81,11,615,0,0,0,0,0,0
12001001516,1400000US12001001516,619,81,11,527,0,0,0,0,0,0
12001001516,1400000US12001001516,619,81,11,527,0,0,0,0,0,0
12001001517,1400000US12001001517,2270,102,24,2134,0,0,0,0,0,10
12001001517,1400000US12001001517,1426,59,24,1333,0,0,0,0,0,10
12001001517,1400000US12001001517,1449,59,24,1356,0,0,0,0,0,10
12001001517,1400000US12001001517,1210,59,0,1141,0,0,0,0,0,10
12001001517,1400000US12001001517,1224,59,0,1155,0,0,0,0,0,10
12001001519,1400000US12001001519,871,17,0,854,0,0,0,0,0,0
12001001519,1400000US12001001519,579,17,0,562,0,0,0,0,0,0
12001001519,1400000US12001001519,609,17,0,592,0,0,0,0,0,0
12001001520,1400000US12001001520,1045,0,25,1020,0,0,0,0,0,0
12001001520,1400000US12001001520,652,0,0,652,0,0,0,0,0,0
12001001520,1400000US12001001520,662,0,0,662,0,0,0,0,0,0
12001001520,1400000US12001001520,440,0,0,440,0,0,0,0,0,0
12001001520,1400000US12001001520,450,0,0,450,0,0,0,0,0,0
12001001521,1400000US12001001521,2085,56,0,1978,0,14,0,11,0,26
12001001521,1400000US12001001521,1570,28,0,1491,0,14,0,11,0,26
12001001521,1400000US12001001521,1588,28,0,1509,0,14,0,11,0,26
12001001521,1400000US12001001521,1381,28,0,1313,0,14,0,0,0,26
12001001521,1400000US12001001521,1399,28,0,1331,0,14,0,0,0,26
12001001603,1400000US12001001603,569,277,0,292,0,0,0,0,0,0
12001001603,1400000US12001001603,505,247,0,258,0,0,0,0,0,0
12001001604,1400000US12001001604,2561,284,0,2234,10,0,0,0,0,33
12001001604,1400000US12001001604,2240,284,0,1938,10,0,0,0,0,8
12001001604,1400000US12001001604,2249,284,0,1947,10,0,0,0,0,8
12001001604,1400000US12001001604,1935,284,0,1633,10,0,0,0,0,8
12001001604,1400000US12001001604,1935,284,0,1633,10,0,0,0,0,8
12001001701,1400000US12001001701,2436,746,7,1650,0,0,24,0,0,9
12001001701,1400000US12001001701,1826,604,7,1194,0,0,12,0,0,9
12001001701,1400000US12001001701,1879,604,7,1247,0,0,12,0,0,9
12001001701,1400000US12001001701,1728,574,7,1126,0,0,12,0,0,9
12001001701,1400000US12001001701,1747,574,7,1145,0,0,12,0,0,9
12001001701,1400000US12001001701,360,153,0,207,0,0,0,0,0,0
12001001701,1400000US12001001701,385,148,0,225,0,0,12,0,0,0
12001001701,1400000US12001001701,320,116,0,204,0,0,0,0,0,0
12001001702,1400000US12001001702,1999,951,13,1035,0,0,0,0,0,0
12001001702,1400000US12001001702,1760,859,13,888,0,0,0,0,0,0
12001001702,1400000US12001001702,1770,859,13,898,0,0,0,0,0,0
12001001702,1400000US12001001702,1760,859,13,888,0,0,0,0,0,0
12001001702,1400000US12001001702,1770,859,13,898,0,0,0,0,0,0
12001001702,1400000US12001001702,560,244,0,316,0,0,0,0,0,0
12001001702,1400000US12001001702,408,229,0,179,0,0,0,0,0,0
12001001801,1400000US12001001801,2666,18,238,2235,42,0,131,0,0,2
12001001801,1400000US12001001801,2130,9,183,1769,36,0,131,0,0,2
12001001801,1400000US12001001801,2227,9,183,1866,36,0,131,0,0,2
12001001801,1400000US12001001801,2028,9,178,1680,36,0,123,0,0,2
12001001801,1400000US12001001801,2125,9,178,1777,36,0,123,0,0,2
12001001801,1400000US12001001801,376,0,25,313,31,0,7,0,0,0
12001001802,1400000US12001001802,1118,43,20,1033,0,0,22,0,0,0
12001001802,1400000US12001001802,700,31,0,647,0,0,22,0,0,0
12001001802,1400000US12001001802,700,31,0,647,0,0,22,0,0,0
12001001802,1400000US12001001802,620,31,0,567,0,0,22,0,0,0
12001001802,1400000US12001001802,620,31,0,567,0,0,22,0,0,0
12001001803,1400000US12001001803,2668,1340,21,1307,0,0,0,0,0,0
12001001803,1400000US12001001803,2010,1129,21,860,0,0,0,0,0,0
12001001803,1400000US12001001803,2061,1180,21,860,0,0,0,0,0,0
12001001803,1400000US12001001803,396,89,0,307,0,0,0,0,0,0
12001001803,1400000US12001001803,455,116,0,339,0,0,0,0,0,0
12001001803,1400000US12001001803,1880,1060,21,799,0,0,0,0,0,0
12001001803,1400000US12001001803,1931,1111,21,799,0,0,0,0,0,0
12001001803,1400000US12001001803,381,89,0,292,0,0,0,0,0,0
12001001803,1400000US12001001803,440,116,0,324,0,0,0,0,0,0
