Id2,Id,Estimate; Total:,Estimate; Total: - Complete kitchen facilities,Estimate; Total: - Lacking complete kitchen facilities
12001000200,1400000US12001000200,2252,2161,91
12001000200,1400000US12001000200,1580,1508,72
12001000200,1400000US12001000200,1603,1531,72
12001000200,1400000US12001000200,501,482,19
12001000200,1400000US12001000200,532,513,19
12001000200,1400000US12001000200,1213,1141,72
12001000200,1400000US12001000200,1227,1155,72
12001000200,1400000US12001000200,501,482,19
12001000200,1400000US12001000200,523,504,19
12001000301,1400000US12001000301,1697,1655,42
12001000301,1400000US12001000301,1303,1261,42
12001000301,1400000US12001000301,1314,1272,42
12001000301,1400000US12001000301,1160,1118,42
12001000301,1400000US12001000301,1171,1129,42
12001000302,1400000US12001000302,1362,1331,31
12001000302,1400000US12001000302,1172,1154,18
12001000302,1400000US12001000302,1200,1182,18
12001000302,1400000US12001000302,1092,1074,18
12001000302,1400000US12001000302,1120,1102,18
12001000400,1400000US12001000400,2167,2167,0
12001000400,1400000US12001000400,838,838,0
12001000400,1400000US12001000400,849,849,0
12001000400,1400000US12001000400,1284,1284,0
12001000400,1400000US12001000400,1295,1295,0
12001000400,1400000US12001000400,788,788,0
12001000400,1400000US12001000400,799,799,0
12001000400,1400000US12001000400,1284,1284,0
12001000400,1400000US12001000400,1295,1295,0
12001000500,1400000US12001000500,2279,2250,29
12001000500,1400000US12001000500,1788,1759,29
12001000500,1400000US12001000500,1788,1759,29
12001000500,1400000US12001000500,1698,1669,29
12001000500,1400000US12001000500,1698,1669,29
12001000600,1400000US12001000600,1632,1626,6
12001000600,1400000US12001000600,1489,1483,6
12001000600,1400000US12001000600,1494,1488,6
12001000600,1400000US12001000600,1446,1440,6
12001000600,1400000US12001000600,1451,1445,6
12001000700,1400000US12001000700,2279,2246,33
12001000700,1400000US12001000700,476,462,14
12001000700,1400000US12001000700,496,482,14
12001000700,1400000US12001000700,1708,1689,19
12001000700,1400000US12001000700,1719,1700,19
12001000700,1400000US12001000700,453,439,14
12001000700,1400000US12001000700,473,459,14
12001000700,1400000US12001000700,1708,1689,19
12001000700,1400000US12001000700,1708,1689,19
12001000806,1400000US12001000806,1072,1016,56
12001000806,1400000US12001000806,830,783,47
12001000806,1400000US12001000806,838,791,47
12001000806,1400000US12001000806,794,747,47
12001000806,1400000US12001000806,802,755,47
12001000808,1400000US12001000808,1894,1894,0
12001000808,1400000US12001000808,1034,1034,0
12001000808,1400000US12001000808,1194,1194,0
12001000808,1400000US12001000808,414,414,0
12001000808,1400000US12001000808,462,462,0
12001000808,1400000US12001000808,911,911,0
12001000808,1400000US12001000808,1027,1027,0
12001000808,1400000US12001000808,414,414,0
12001000808,1400000US12001000808,462,462,0
12001000809,1400000US12001000809,817,817,0
12001000809,1400000US12001000809,622,622,0
12001000809,1400000US12001000809,622,622,0
12001000809,1400000US12001000809,556,556,0
12001000901,1400000US12001000901,637,630,7
12001000901,1400000US12001000901,219,219,0
12001000901,1400000US12001000901,280,280,0
12001000901,1400000US12001000901,290,283,7
12001000901,1400000US12001000901,290,283,7
12001000901,1400000US12001000901,99,99,0
12001000901,1400000US12001000901,148,148,0
12001000901,1400000US12001000901,290,283,7
12001000901,1400000US12001000901,290,283,7
12001000902,1400000US12001000902,164,164,0
12001000902,1400000US12001000902,22,22,0
12001000902,1400000US12001000902,22,22,0
12001000902,1400000US12001000902,46,46,0
12001000902,1400000US12001000902,46,46,0
12001000902,1400000US12001000902,77,77,0
12001000902,1400000US12001000902,8,8,0
12001000902,1400000US12001000902,14,14,0
12001000902,1400000US12001000902,14,14,0
12001000902,1400000US12001000902,46,46,0
12001000902,1400000US12001000902,46,46,0
12001000902,1400000US12001000902,77,77,0
12001000902,1400000US12001000902,8,8,0
12001000902,1400000US12001000902,8,8,0
12001000902,1400000US12001000902,0,0,0
12001000902,1400000US12001000902,0,0,0
12001001000,1400000US12001001000,2550,2536,14
12001001000,1400000US12001001000,2368,2354,14
12001001000,1400000US12001001000,2383,2369,14
12001001000,1400000US12001001000,2268,2268,0
12001001000,1400000US12001001000,2283,2283,0
12001001000,1400000US12001001000,460,460,0
12001001000,1400000US12001001000,497,497,0
12001001100,1400000US12001001100,2990,2990,0
12001001100,1400000US12001001100,2632,2632,0
12001001100,1400000US12001001100,2651,2651,0
12001001100,1400000US12001001100,2518,2518,0
12001001100,1400000US12001001100,2518,2518,0
12001001100,1400000US12001001100,578,578,0
12001001100,1400000US12001001100,702,702,0
12001001100,1400000US12001001100,473,473,0
12001001201,1400000US12001001201,1175,1175,0
12001001201,1400000US12001001201,1041,1041,0
12001001201,1400000US12001001201,1046,1046,0
12001001201,1400000US12001001201,998,998,0
12001001201,1400000US12001001201,1003,1003,0
