Id2,Id,Population Group,Estimate; Median gross rent
12001000200,1400000US12001000200,Total population,859
12001000200,1400000US12001000200,White alone,889
12001000200,1400000US12001000200,White alone or in combination with one or more other races,877
12001000200,1400000US12001000200,Black or African American alone,760
12001000200,1400000US12001000200,Black or African American alone or in combination with one or more other races,775
12001000200,1400000US12001000200,"White alone, not Hispanic or Latino",900
12001000200,1400000US12001000200,"White alone or in combination with one or more other races, not Hispanic or Latino",878
12001000200,1400000US12001000200,"Black or African American alone, not Hispanic or Latino",760
12001000200,1400000US12001000200,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",786
12001000301,1400000US12001000301,Total population,658
12001000301,1400000US12001000301,White alone,726
12001000301,1400000US12001000301,White alone or in combination with one or more other races,726
12001000301,1400000US12001000301,"White alone, not Hispanic or Latino",709
12001000301,1400000US12001000301,"White alone or in combination with one or more other races, not Hispanic or Latino",709
12001000302,1400000US12001000302,Total population,733
12001000302,1400000US12001000302,White alone,695
12001000302,1400000US12001000302,White alone or in combination with one or more other races,696
12001000302,1400000US12001000302,"White alone, not Hispanic or Latino",688
12001000302,1400000US12001000302,"White alone or in combination with one or more other races, not Hispanic or Latino",689
12001000400,1400000US12001000400,Total population,584
12001000400,1400000US12001000400,White alone,664
12001000400,1400000US12001000400,White alone or in combination with one or more other races,664
12001000400,1400000US12001000400,Black or African American alone,540
12001000400,1400000US12001000400,Black or African American alone or in combination with one or more other races,540
12001000400,1400000US12001000400,"White alone, not Hispanic or Latino",595
12001000400,1400000US12001000400,"White alone or in combination with one or more other races, not Hispanic or Latino",595
12001000400,1400000US12001000400,"Black or African American alone, not Hispanic or Latino",540
12001000400,1400000US12001000400,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",540
12001000500,1400000US12001000500,Total population,815
12001000500,1400000US12001000500,White alone,835
12001000500,1400000US12001000500,White alone or in combination with one or more other races,835
12001000500,1400000US12001000500,"White alone, not Hispanic or Latino",834
12001000500,1400000US12001000500,"White alone or in combination with one or more other races, not Hispanic or Latino",834
12001000600,1400000US12001000600,Total population,763
12001000600,1400000US12001000600,Black or African American alone,760
12001000600,1400000US12001000600,Black or African American alone or in combination with one or more other races,760
12001000600,1400000US12001000600,"Black or African American alone, not Hispanic or Latino",774
12001000600,1400000US12001000600,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",774
12001000700,1400000US12001000700,Total population,597
12001000700,1400000US12001000700,White alone,525
12001000700,1400000US12001000700,White alone or in combination with one or more other races,475
12001000700,1400000US12001000700,Black or African American alone,603
12001000700,1400000US12001000700,Black or African American alone or in combination with one or more other races,594
12001000700,1400000US12001000700,"White alone, not Hispanic or Latino",525
12001000700,1400000US12001000700,"White alone or in combination with one or more other races, not Hispanic or Latino",475
12001000700,1400000US12001000700,"Black or African American alone, not Hispanic or Latino",603
12001000700,1400000US12001000700,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",603
12001000806,1400000US12001000806,Total population,705
12001000806,1400000US12001000806,White alone,724
12001000806,1400000US12001000806,White alone or in combination with one or more other races,724
12001000806,1400000US12001000806,"White alone, not Hispanic or Latino",729
12001000806,1400000US12001000806,"White alone or in combination with one or more other races, not Hispanic or Latino",729
12001000808,1400000US12001000808,Total population,860
12001000808,1400000US12001000808,White alone,814
12001000808,1400000US12001000808,White alone or in combination with one or more other races,855
12001000808,1400000US12001000808,Asian alone (400-499),844
12001000808,1400000US12001000808,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",856
12001000808,1400000US12001000808,"White alone, not Hispanic or Latino",832
