Id2,Id,Estimate; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage
12001000200,1400000US12001000200,370,227,48,48,0,0,179,143
12001000200,1400000US12001000200,103,95,37,37,0,0,58,8
12001000200,1400000US12001000200,103,95,37,37,0,0,58,8
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,82,74,16,16,0,0,58,8
12001000200,1400000US12001000200,82,74,16,16,0,0,58,8
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000200,1400000US12001000200,255,120,11,11,0,0,109,135
12001000301,1400000US12001000301,225,112,8,0,8,0,104,113
12001000301,1400000US12001000301,189,104,8,0,8,0,96,85
12001000301,1400000US12001000301,200,104,8,0,8,0,96,96
12001000301,1400000US12001000301,189,104,8,0,8,0,96,85
12001000301,1400000US12001000301,200,104,8,0,8,0,96,96
12001000302,1400000US12001000302,392,165,0,0,0,0,165,227
12001000302,1400000US12001000302,364,137,0,0,0,0,137,227
12001000302,1400000US12001000302,379,152,0,0,0,0,152,227
12001000302,1400000US12001000302,351,124,0,0,0,0,124,227
12001000302,1400000US12001000302,366,139,0,0,0,0,139,227
12001000400,1400000US12001000400,1384,1097,178,29,149,11,908,287
12001000400,1400000US12001000400,593,416,48,15,33,11,357,177
12001000400,1400000US12001000400,604,427,48,15,33,11,368,177
12001000400,1400000US12001000400,746,647,130,14,116,0,517,99
12001000400,1400000US12001000400,757,658,130,14,116,0,528,99
12001000400,1400000US12001000400,570,403,48,15,33,11,344,167
12001000400,1400000US12001000400,581,414,48,15,33,11,355,167
12001000400,1400000US12001000400,746,647,130,14,116,0,517,99
12001000400,1400000US12001000400,757,658,130,14,116,0,528,99
12001000500,1400000US12001000500,1044,755,270,76,194,29,456,289
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000500,1400000US12001000500,910,663,270,76,194,29,364,247
12001000600,1400000US12001000600,712,423,39,6,33,0,384,289
12001000600,1400000US12001000600,586,356,28,6,22,0,328,230
12001000600,1400000US12001000600,591,361,28,6,22,0,333,230
12001000600,1400000US12001000600,586,356,28,6,22,0,328,230
12001000600,1400000US12001000600,591,361,28,6,22,0,333,230
12001000700,1400000US12001000700,1544,1101,48,15,33,19,1034,443
12001000700,1400000US12001000700,341,197,27,5,22,19,151,144
12001000700,1400000US12001000700,348,204,27,5,22,19,158,144
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,318,174,27,5,22,19,128,144
12001000700,1400000US12001000700,325,181,27,5,22,19,135,144
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000700,1400000US12001000700,1191,892,21,10,11,0,871,299
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000806,1400000US12001000806,139,139,5,5,0,0,134,0
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000806,1400000US12001000806,139,139,5,5,0,0,134,0
12001000806,1400000US12001000806,147,147,13,5,8,0,134,0
12001000808,1400000US12001000808,147,115,11,0,11,40,64,32
12001000808,1400000US12001000808,124,92,11,0,11,40,41,32
12001000808,1400000US12001000808,124,92,11,0,11,40,41,32
12001000808,1400000US12001000808,0,0,0,0,0,0,0,0
