Id2,Id,Estimate; Total:,Estimate; Total: - Less than 10 minutes,Estimate; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Estimate; Total: - 60 or more minutes,Estimate; Total: - Public transportation (excluding taxicab):
12001000200,1400000US12001000200,2458,826,724,643,152,13,76,0,0,24,32
12001000200,1400000US12001000200,2092,699,650,558,129,0,56,0,0,0,19
12001000200,1400000US12001000200,2101,699,650,567,129,0,56,0,0,0,19
12001000200,1400000US12001000200,271,127,52,61,11,0,20,0,0,0,0
12001000200,1400000US12001000200,302,127,74,70,11,0,20,0,0,0,0
12001000200,1400000US12001000200,1867,657,625,418,111,0,56,0,0,0,19
12001000200,1400000US12001000200,1867,657,625,418,111,0,56,0,0,0,19
12001000200,1400000US12001000200,271,127,52,61,11,0,20,0,0,0,0
12001000200,1400000US12001000200,293,127,74,61,11,0,20,0,0,0,0
12001000301,1400000US12001000301,1491,395,407,517,90,18,57,0,7,0,0
12001000301,1400000US12001000301,1250,339,282,517,79,18,8,0,7,0,0
12001000301,1400000US12001000301,1250,339,282,517,79,18,8,0,7,0,0
12001000301,1400000US12001000301,1118,286,220,500,79,18,8,0,7,0,0
12001000301,1400000US12001000301,1118,286,220,500,79,18,8,0,7,0,0
12001000302,1400000US12001000302,1408,370,312,245,224,30,164,0,0,63,0
12001000302,1400000US12001000302,1206,355,218,195,198,30,147,0,0,63,0
12001000302,1400000US12001000302,1234,370,218,208,198,30,147,0,0,63,0
12001000302,1400000US12001000302,1084,347,202,160,198,7,147,0,0,23,0
12001000302,1400000US12001000302,1112,362,202,173,198,7,147,0,0,23,0
12001000400,1400000US12001000400,2366,492,500,444,448,135,193,0,91,63,79
12001000400,1400000US12001000400,901,109,204,221,170,38,66,0,51,42,43
12001000400,1400000US12001000400,924,109,204,221,193,38,66,0,51,42,43
12001000400,1400000US12001000400,1405,383,285,205,255,97,119,0,40,21,36
12001000400,1400000US12001000400,1428,383,285,205,278,97,119,0,40,21,36
12001000400,1400000US12001000400,838,101,204,221,142,38,39,0,51,42,43
12001000400,1400000US12001000400,861,101,204,221,165,38,39,0,51,42,43
12001000400,1400000US12001000400,1405,383,285,205,255,97,119,0,40,21,36
12001000400,1400000US12001000400,1428,383,285,205,278,97,119,0,40,21,36
12001000500,1400000US12001000500,2702,728,709,556,321,77,142,33,64,72,15
12001000500,1400000US12001000500,2040,578,509,457,246,77,32,33,64,44,15
12001000500,1400000US12001000500,2040,578,509,457,246,77,32,33,64,44,15
12001000500,1400000US12001000500,1933,578,509,420,176,77,32,33,64,44,15
12001000500,1400000US12001000500,1933,578,509,420,176,77,32,33,64,44,15
12001000600,1400000US12001000600,1172,119,255,400,132,17,161,0,20,68,82
12001000600,1400000US12001000600,1039,88,255,298,132,17,161,0,20,68,77
12001000600,1400000US12001000600,1044,93,255,298,132,17,161,0,20,68,82
12001000600,1400000US12001000600,1009,88,255,268,132,17,161,0,20,68,77
12001000600,1400000US12001000600,1014,93,255,268,132,17,161,0,20,68,82
12001000700,1400000US12001000700,1900,144,400,364,339,162,319,25,84,63,190
12001000700,1400000US12001000700,370,11,74,61,104,57,38,25,0,0,0
12001000700,1400000US12001000700,383,11,74,74,104,57,38,25,0,0,0
12001000700,1400000US12001000700,1422,133,326,215,235,92,281,0,77,63,190
12001000700,1400000US12001000700,1435,133,326,215,235,105,281,0,77,63,190
12001000700,1400000US12001000700,347,11,74,61,81,57,38,25,0,0,0
12001000700,1400000US12001000700,360,11,74,74,81,57,38,25,0,0,0
12001000700,1400000US12001000700,1422,133,326,215,235,92,281,0,77,63,190
12001000700,1400000US12001000700,1435,133,326,215,235,105,281,0,77,63,190
12001000806,1400000US12001000806,1108,125,303,81,437,42,79,26,15,0,167
12001000806,1400000US12001000806,870,125,253,81,249,42,79,26,15,0,71
12001000806,1400000US12001000806,878,125,253,81,257,42,79,26,15,0,79
12001000806,1400000US12001000806,834,125,253,68,249,42,56,26,15,0,58
12001000806,1400000US12001000806,842,125,253,68,257,42,56,26,15,0,66
12001000808,1400000US12001000808,2043,406,705,442,148,29,112,106,66,29,177
12001000808,1400000US12001000808,1157,256,272,301,90,29,64,90,39,16,76
12001000808,1400000US12001000808,1320,256,406,330,90,29,64,90,39,16,88
12001000808,1400000US12001000808,467,67,219,59,58,0,48,16,0,0,89
12001000808,1400000US12001000808,518,67,258,71,58,0,48,16,0,0,101
12001000808,1400000US12001000808,1101,256,244,289,90,29,64,90,39,0,69
12001000808,1400000US12001000808,1220,256,334,318,90,29,64,90,39,0,81
12001000808,1400000US12001000808,467,67,219,59,58,0,48,16,0,0,89
