GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Id,Population Group,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",001,Total population,859,151
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",002,White alone,889,158
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",003,White alone or in combination with one or more other races,877,169
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",004,Black or African American alone,760,234
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,775,143
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",451,"White alone, not Hispanic or Latino",900,238
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",878,230
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",760,234
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",786,177
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",001,Total population,658,52
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",002,White alone,726,169
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",003,White alone or in combination with one or more other races,726,169
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",451,"White alone, not Hispanic or Latino",709,166
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",709,166
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",001,Total population,733,107
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",002,White alone,695,53
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",003,White alone or in combination with one or more other races,696,51
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",451,"White alone, not Hispanic or Latino",688,22
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",689,24
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",001,Total population,584,144
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",002,White alone,664,347
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",003,White alone or in combination with one or more other races,664,347
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",004,Black or African American alone,540,231
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,540,231
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",451,"White alone, not Hispanic or Latino",595,279
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",595,279
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",540,231
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",540,231
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",001,Total population,815,103
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",002,White alone,835,65
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",003,White alone or in combination with one or more other races,835,65
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",451,"White alone, not Hispanic or Latino",834,95
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",834,95
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",001,Total population,763,184
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",004,Black or African American alone,760,206
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,760,206
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",774,147
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",774,147
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",001,Total population,597,148
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",002,White alone,525,193
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",003,White alone or in combination with one or more other races,475,179
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",004,Black or African American alone,603,170
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,594,184
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",451,"White alone, not Hispanic or Latino",525,193
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",475,179
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",603,170
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",603,170
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",001,Total population,705,23
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",002,White alone,724,22
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",003,White alone or in combination with one or more other races,724,22
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",451,"White alone, not Hispanic or Latino",729,24
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",729,24
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",001,Total population,860,50
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",002,White alone,814,57
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",003,White alone or in combination with one or more other races,855,72
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",012,Asian alone (400-499),844,97
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",856,105
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",451,"White alone, not Hispanic or Latino",832,66
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",863,77
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",457,"Asian alone, not Hispanic or Latino",844,97
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",856,105
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",001,Total population,845,68
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",002,White alone,850,39
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",003,White alone or in combination with one or more other races,850,39
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",850,56
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",001,Total population,513,27
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",002,White alone,517,48
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",003,White alone or in combination with one or more other races,528,47
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",012,Asian alone (400-499),491,28
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",491,28
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",451,"White alone, not Hispanic or Latino",571,45
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",588,117
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",457,"Asian alone, not Hispanic or Latino",491,28
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",491,28
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",001,Total population,608,88
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",002,White alone,539,29
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",003,White alone or in combination with one or more other races,539,29
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",004,Black or African American alone,754,80
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,754,80
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",558,38
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",400,Hispanic or Latino (of any race) (200-299),-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",451,"White alone, not Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",754,80
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",754,80
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",458,"Asian alone or in combination with one or more other races, not Hispanic or Latino",558,38
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",464,"White alone, Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",465,"White alone or in combination with one or more other races, Hispanic or Latino",-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",535,German (032-045),-,**
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",541,"Irish (050, 081)",-,**
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",001,Total population,1122,169
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",002,White alone,1149,166
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",003,White alone or in combination with one or more other races,1141,166
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",451,"White alone, not Hispanic or Latino",1152,166
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",1144,166
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",535,German (032-045),1890,691
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",541,"Irish (050, 081)",1381,407
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",001,Total population,1075,152
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",002,White alone,1099,149
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",003,White alone or in combination with one or more other races,1088,150
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",451,"White alone, not Hispanic or Latino",1093,147
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",1093,147
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",529,"English (015, 022)",1281,731
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",535,German (032-045),1159,144
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",541,"Irish (050, 081)",1025,779
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",001,Total population,893,58
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",002,White alone,883,48
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",003,White alone or in combination with one or more other races,885,51
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",451,"White alone, not Hispanic or Latino",883,48
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",885,51
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",001,Total population,997,86
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",002,White alone,1018,69
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",003,White alone or in combination with one or more other races,1018,69
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",451,"White alone, not Hispanic or Latino",1021,80
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",1021,80
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",529,"English (015, 022)",968,407
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",535,German (032-045),1018,139
1400000US12001001202,12001001202,"Census Tract 12.02, Alachua County, Florida",541,"Irish (050, 081)",843,211
1400000US12001001203,12001001203,"Census Tract 12.03, Alachua County, Florida",001,Total population,1075,89
1400000US12001001203,12001001203,"Census Tract 12.03, Alachua County, Florida",002,White alone,1070,127
1400000US12001001203,12001001203,"Census Tract 12.03, Alachua County, Florida",003,White alone or in combination with one or more other races,1059,113
1400000US12001001203,12001001203,"Census Tract 12.03, Alachua County, Florida",451,"White alone, not Hispanic or Latino",1083,125
1400000US12001001203,12001001203,"Census Tract 12.03, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",1065,126
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",001,Total population,954,55
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",002,White alone,950,19
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",003,White alone or in combination with one or more other races,943,24
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",004,Black or African American alone,1057,257
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",005,Black or African American alone or in combination with one or more other races,1057,257
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",451,"White alone, not Hispanic or Latino",950,19
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",943,24
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",453,"Black or African American alone, not Hispanic or Latino",1057,257
1400000US12001001400,12001001400,"Census Tract 14, Alachua County, Florida",454,"Black or African American alone or in combination with one or more other races, not Hispanic or Latino",1057,257
1400000US12001001515,12001001515,"Census Tract 15.15, Alachua County, Florida",001,Total population,845,32
1400000US12001001515,12001001515,"Census Tract 15.15, Alachua County, Florida",002,White alone,855,40
1400000US12001001515,12001001515,"Census Tract 15.15, Alachua County, Florida",003,White alone or in combination with one or more other races,850,40
1400000US12001001515,12001001515,"Census Tract 15.15, Alachua County, Florida",451,"White alone, not Hispanic or Latino",841,40
1400000US12001001515,12001001515,"Census Tract 15.15, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",840,38
1400000US12001001516,12001001516,"Census Tract 15.16, Alachua County, Florida",001,Total population,803,107
1400000US12001001516,12001001516,"Census Tract 15.16, Alachua County, Florida",002,White alone,736,54
1400000US12001001516,12001001516,"Census Tract 15.16, Alachua County, Florida",003,White alone or in combination with one or more other races,740,68
1400000US12001001516,12001001516,"Census Tract 15.16, Alachua County, Florida",451,"White alone, not Hispanic or Latino",737,51
1400000US12001001516,12001001516,"Census Tract 15.16, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",737,51
1400000US12001001517,12001001517,"Census Tract 15.17, Alachua County, Florida",001,Total population,908,57
1400000US12001001517,12001001517,"Census Tract 15.17, Alachua County, Florida",002,White alone,899,69
1400000US12001001517,12001001517,"Census Tract 15.17, Alachua County, Florida",003,White alone or in combination with one or more other races,900,73
1400000US12001001517,12001001517,"Census Tract 15.17, Alachua County, Florida",451,"White alone, not Hispanic or Latino",883,48
1400000US12001001517,12001001517,"Census Tract 15.17, Alachua County, Florida",452,"White alone or in combination with one or more other races, not Hispanic or Latino",886,53
1400000US12001001519,12001001519,"Census Tract 15.19, Alachua County, Florida",001,Total population,968,94
1400000US12001001519,12001001519,"Census Tract 15.19, Alachua County, Florida",002,White alone,985,175
1400000US12001001519,12001001519,"Census Tract 15.19, Alachua County, Florida",003,White alone or in combination with one or more other races,1003,160
1400000US12001001520,12001001520,"Census Tract 15.20, Alachua County, Florida",001,Total population,718,55
1400000US12001001520,12001001520,"Census Tract 15.20, Alachua County, Florida",002,White alone,728,75
1400000US12001001520,12001001520,"Census Tract 15.20, Alachua County, Florida",003,White alone or in combination with one or more other races,733,98
1400000US12001001520,12001001520,"Census Tract 15.20, Alachua County, Florida",451,"White alone, not Hispanic or Latino",721,66
