GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1000000US120730002001000,120730002001000,"Block 1000, Block Group 1, Census Tract 2, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730002001001,120730002001001,"Block 1001, Block Group 1, Census Tract 2, Leon County, Florida",6,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730002001002,120730002001002,"Block 1002, Block Group 1, Census Tract 2, Leon County, Florida",25,11,0,0,0,1,0,1,0,2,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,14,0,0,1,2,0,0,0,0,1,0,0,0,2,0,5,1,0,0,0,1,1,0,0
1000000US120730002001003,120730002001003,"Block 1003, Block Group 1, Census Tract 2, Leon County, Florida",17,8,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,3,0,1,0,2,0,1,0,0,0,0,0,0
1000000US120730002001004,120730002001004,"Block 1004, Block Group 1, Census Tract 2, Leon County, Florida",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000000US120730002001005,120730002001005,"Block 1005, Block Group 1, Census Tract 2, Leon County, Florida",29,12,0,0,0,1,0,0,0,1,3,0,1,1,1,1,0,2,1,0,0,0,0,0,0,17,1,0,4,1,1,0,0,0,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0
1000000US120730002001006,120730002001006,"Block 1006, Block Group 1, Census Tract 2, Leon County, Florida",49,22,0,0,0,0,0,0,0,3,4,4,2,0,3,0,2,0,1,1,1,1,0,0,0,27,2,2,0,0,0,1,2,5,4,0,0,0,1,2,3,0,1,1,2,0,0,1,0
1000000US120730002001007,120730002001007,"Block 1007, Block Group 1, Census Tract 2, Leon County, Florida",30,17,1,1,0,1,1,0,0,1,2,0,3,0,1,1,2,2,0,0,1,0,0,0,0,13,0,0,1,0,1,0,0,0,2,1,0,1,2,2,1,0,2,0,0,0,0,0,0
1000000US120730002001008,120730002001008,"Block 1008, Block Group 1, Census Tract 2, Leon County, Florida",15,8,2,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1000000US120730002001009,120730002001009,"Block 1009, Block Group 1, Census Tract 2, Leon County, Florida",20,10,0,0,3,0,0,0,0,0,0,1,0,2,0,0,2,0,1,1,0,0,0,0,0,10,2,0,1,0,0,0,0,1,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0
1000000US120730002001010,120730002001010,"Block 1010, Block Group 1, Census Tract 2, Leon County, Florida",27,12,2,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,1,0,1,0,0,0,0,15,0,2,0,0,1,0,0,1,0,2,0,2,2,3,0,0,1,0,1,0,0,0,0
1000000US120730002001011,120730002001011,"Block 1011, Block Group 1, Census Tract 2, Leon County, Florida",8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1000000US120730002001012,120730002001012,"Block 1012, Block Group 1, Census Tract 2, Leon County, Florida",36,15,0,1,1,2,0,0,0,0,0,0,1,2,2,2,0,0,3,1,0,0,0,0,0,21,1,1,3,2,0,0,0,0,0,0,1,3,1,2,3,1,3,0,0,0,0,0,0
1000000US120730002001013,120730002001013,"Block 1013, Block Group 1, Census Tract 2, Leon County, Florida",36,14,0,1,1,0,0,0,0,2,0,0,3,1,2,1,1,1,0,0,0,0,1,0,0,22,2,6,1,0,0,0,0,1,0,0,3,1,3,1,2,0,0,0,0,2,0,0,0
1000000US120730002001014,120730002001014,"Block 1014, Block Group 1, Census Tract 2, Leon County, Florida",56,23,1,0,2,0,1,0,0,1,3,4,0,1,2,2,2,1,1,0,0,0,0,2,0,33,2,2,2,0,1,2,0,2,2,4,2,1,1,4,3,1,0,2,0,0,0,1,1
1000000US120730002001015,120730002001015,"Block 1015, Block Group 1, Census Tract 2, Leon County, Florida",34,14,1,2,0,0,0,0,0,0,1,0,3,2,0,1,2,1,0,1,0,0,0,0,0,20,0,4,2,0,1,0,0,0,2,0,4,3,0,1,0,0,0,1,0,2,0,0,0
1000000US120730002001016,120730002001016,"Block 1016, Block Group 1, Census Tract 2, Leon County, Florida",27,12,0,0,0,0,1,0,0,0,2,1,0,0,1,2,2,0,1,0,1,0,1,0,0,15,0,0,1,0,0,0,0,0,4,1,0,2,0,2,3,0,1,0,0,0,0,0,1
